pretraining_objective,horizon,fee_bps,spread_multiplier,n_groups,mean_gross_proxy,mean_cost_adjusted_proxy,mean_degradation_percentage,mean_active_fraction,mean_average_cost_per_active_trade
next_field,20,5.0,2.0,15,-2870.6666666666665,-3019.5841333333333,7.3627028376579595,0.19625571914653156,0.020499999999999984
next_field,20,10.0,0.0,15,-2870.6666666666665,-2877.9309333333335,0.3591562359833149,0.19625571914653156,0.0010000000000000002
next_field,20,10.0,0.5,15,-2870.6666666666665,-2914.252266666667,2.1549374158998913,0.19625571914653156,0.0059999999999999915
next_field,20,10.0,1.0,15,-2870.6666666666665,-2950.5736,3.9507185958164666,0.19625571914653156,0.010999999999999972
next_field,20,10.0,2.0,15,-2870.6666666666665,-3023.216266666667,7.542280955649615,0.19625571914653156,0.020999999999999974
next_field,50,0.0,0.0,15,-4668.333333333333,-4668.333333333333,0.0,0.7263363237361796,0.0
next_field,50,0.0,0.5,15,-4668.333333333333,-4798.254333333333,3.3917567664944155,0.7263363237361796,0.004999999999999986
next_field,50,0.0,1.0,15,-4668.333333333333,-4928.175333333334,6.783513532988837,0.7263363237361796,0.009999999999999986
next_field,50,0.0,2.0,15,-4668.333333333333,-5188.017333333334,13.567027065977673,0.7263363237361796,0.019999999999999987
next_field,50,1.0,0.0,15,-4668.333333333333,-4670.931753333333,0.06783513532988775,0.7263363237361796,0.00010000000000000002
next_field,50,1.0,0.5,15,-4668.333333333333,-4800.8527533333345,3.4595919018243033,0.7263363237361796,0.005099999999999905
next_field,50,1.0,1.0,15,-4668.333333333333,-4930.773753333333,6.851348668318725,0.7263363237361796,0.010099999999999974
next_field,50,1.0,2.0,15,-4668.333333333333,-5190.6157533333335,13.634862201307559,0.7263363237361796,0.020100000000000003
next_field,50,2.0,0.0,15,-4668.333333333333,-4673.530173333334,0.13567027065977671,0.7263363237361796,0.00020000000000000004
next_field,50,2.0,0.5,15,-4668.333333333333,-4803.451173333334,3.527427037154192,0.7263363237361796,0.0051999999999999
next_field,50,2.0,1.0,15,-4668.333333333333,-4933.372173333333,6.919183803648612,0.7263363237361796,0.010199999999999907
next_field,50,2.0,2.0,15,-4668.333333333333,-5193.214173333333,13.702697336637447,0.7263363237361796,0.02019999999999997
next_field,50,5.0,0.0,15,-4668.333333333333,-4681.3254333333325,0.3391756766494426,0.7263363237361796,0.0005000000000000002
next_field,50,5.0,0.5,15,-4668.333333333333,-4811.246433333334,3.730932443143858,0.7263363237361796,0.005499999999999987
next_field,50,5.0,1.0,15,-4668.333333333333,-4941.167433333333,7.122689209638279,0.7263363237361796,0.01049999999999996
next_field,50,5.0,2.0,15,-4668.333333333333,-5201.0094333333345,13.906202742627112,0.7263363237361796,0.020499999999999997
next_field,50,10.0,0.0,15,-4668.333333333333,-4694.317533333334,0.6783513532988845,0.7263363237361796,0.0010000000000000005
next_field,50,10.0,0.5,15,-4668.333333333333,-4824.238533333334,4.070108119793302,0.7263363237361796,0.005999999999999995
