pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy
next_field,20,0.4,15,0.8999836095634809,0.14059018819497895,0.8274344891338109,0.47308078716363505,0.2774044560314902,0.32835209605968724,-2114.4,-2114.4
next_field,20,0.45,15,0.778308966345133,0.1010961528502575,0.8382019487771424,0.48467080692778913,0.2769426332671985,0.3118013607011378,-1609.1333333333334,-1609.1333333333334
next_field,20,0.5,15,0.5536144934535071,0.07129087723930451,0.8447734450423046,0.5015766781973211,0.2817224986890236,0.27053196900347853,-1166.2666666666667,-1166.2666666666667
next_field,20,0.55,15,0.42441952683456674,0.050753718259714975,0.8557746784524997,0.5213230356078159,0.28558483672687146,0.3041125317982337,-852.8666666666667,-852.8666666666667
next_field,20,0.6,14,0.3084776047020034,0.040051001622218314,0.8619736135166499,0.5569608201520778,0.298091610529152,0.32382080478557884,-685.7142857142857,-685.7142857142857
next_field,20,0.65,13,0.2533318527881947,0.031985207855022076,0.8699842290716027,0.6007119673977631,0.30537973837373494,0.38808738384650177,-564.6923076923077,-564.6923076923077
next_field,20,0.7,13,0.18455713428875023,0.023130185588101985,0.8850658683893992,0.6666800671187001,0.3233232528891194,0.42520156214350846,-405.61538461538464,-405.61538461538464
next_field,20,0.75,10,0.11798145720437112,0.020631021769363177,0.8392809830786012,0.7164546317992235,0.3452355905118798,0.32523991760630794,-363.7,-363.7
next_field,20,0.8,7,0.07118636200899739,0.01871970904211243,0.8626240742305326,0.7560157781503474,0.34182138452234645,0.20635445509943526,-342.7142857142857,-342.7142857142857
next_field,20,0.85,7,0.04575806002118391,0.01008649948284382,0.8999372347568436,0.7937073055369946,0.3364039605785923,0.13489359742054352,-175.14285714285714,-175.14285714285714
next_field,20,0.9,6,0.020180623782886407,0.0032794146457806,0.9331857472854207,0.8756513759445985,0.35606866390324593,0.2420674346903855,-46.666666666666664,-46.666666666666664
next_field,20,0.95,1,0.0001533232821403,0.0,1.0,1.0,0.3333333333333333,,0.0,0.0
next_field,50,0.33,15,1.0,0.7263363237361796,0.2736636762638203,0.41161484421144584,0.3822988716148037,0.4030905770290378,-4668.333333333333,-4668.333333333333
next_field,50,0.35,15,0.9931475083606656,0.7214719504783526,0.27295726209291327,0.4122119990369623,0.3825503417669688,0.4034784151098088,-4611.866666666667,-4611.866666666667
next_field,50,0.4,15,0.7519452749768416,0.5370349334322815,0.3375676665451463,0.42351648564320876,0.3821467439939504,0.40175882602070834,-2384.4666666666667,-2384.4666666666667
