run_id,fold,horizon,seed,lookback,model_family,objective,pretraining_objective,max_epochs,epochs_ran,best_epoch,monitored_metric,best_validation_score,early_stopping_patience,early_stopped,training_seconds,test_macro_f1,test_accuracy,test_mcc,test_ece,status
fold_2__h50__seed_0__lb20__supervised,2,50,0,20,matrix_transformer,supervised,none,25,25,22,validation_macro_f1,0.7327197367238156,5,False,70.23810014687479,0.7567343531269245,0.7604152054986674,0.6439944823077342,0.03481494462610723,skipped_existing
fold_2__h50__seed_0__lb20__deeplob_style__supervised,2,50,0,20,deeplob_style,supervised,none,25,25,23,validation_macro_f1,0.7471883097477129,5,False,47.80854050209746,0.5697622936477736,0.5874246037312386,0.41504818642662183,0.1292765532745041,skipped_existing
fold_2__h50__seed_0__lb50__supervised,2,50,0,50,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.7276076731988489,5,False,109.08470114599913,0.7321293253465262,0.7365021414027944,0.6050568218961055,0.022619068884462083,skipped_existing
fold_2__h50__seed_0__lb50__deeplob_style__supervised,2,50,0,50,deeplob_style,supervised,none,25,25,24,validation_macro_f1,0.7484829021454104,5,False,67.64141611661762,0.4980996286180388,0.5097240749842028,0.3262434441760596,0.34528467689643955,skipped_existing
fold_2__h50__seed_0__lb100__supervised,2,50,0,100,matrix_transformer,supervised,none,25,16,11,validation_macro_f1,0.4347675230722207,5,True,130.25857075303793,0.36355017485884905,0.3799409199606133,0.08383226407044272,0.012806732403677626,skipped_existing
fold_2__h50__seed_0__lb100__deeplob_style__supervised,2,50,0,100,deeplob_style,supervised,none,25,25,25,validation_macro_f1,0.748071618702149,5,False,105.6205259100534,0.4767791698507809,0.5029891686594458,0.33081514847278143,0.37340791641846566,skipped_existing
fold_2__h50__seed_1__lb20__supervised,2,50,1,20,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.7519820946792194,5,False,70.12653394928202,0.7604149416436029,0.7634310562491233,0.6471351368449739,0.05206075295484823,skipped_existing
fold_2__h50__seed_1__lb20__deeplob_style__supervised,2,50,1,20,deeplob_style,supervised,none,25,20,15,validation_macro_f1,0.7292181199921853,5,True,38.57614318607375,0.5008763876987704,0.5393813999158367,0.32628483966866945,0.22129279561183687,skipped_existing
fold_2__h50__seed_1__lb50__supervised,2,50,1,50,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.7508939554160942,5,False,111.34853871213272,0.748276222433375,0.749385663132767,0.6247894946183802,0.0322283387196203,skipped_existing
fold_2__h50__seed_1__lb50__deeplob_style__supervised,2,50,1,50,deeplob_style,supervised,none,25,22,17,validation_macro_f1,0.7421166875376283,5,True,59.223436060827225,0.522408654932876,0.5477778557888086,0.32857167932909337,0.13503649490016528,skipped_existing
fold_2__h50__seed_1__lb100__supervised,2,50,1,100,matrix_transformer,supervised,none,25,25,25,validation_macro_f1,0.42101995807201775,5,False,202.67514133872464,0.39945181495427806,0.40585877057251374,0.1102052894457577,0.07676482669428597,skipped_existing
fold_2__h50__seed_1__lb100__deeplob_style__supervised,2,50,1,100,deeplob_style,supervised,none,25,25,21,validation_macro_f1,0.7522184985432179,5,False,104.20752220787108,0.5284310679779336,0.5506048670699114,0.3864509674025525,0.14607154539659242,skipped_existing
fold_2__h50__seed_2__lb20__supervised,2,50,2,20,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.7426926817778572,5,False,70.21864649001509,0.7598687981801193,0.7618880628419133,0.6429472542300815,0.03407856472396951,skipped_existing
fold_2__h50__seed_2__lb20__deeplob_style__supervised,2,50,2,20,deeplob_style,supervised,none,25,25,24,validation_macro_f1,0.7558428311556872,5,False,48.34568314999342,0.5456763454428607,0.5752559966334689,0.3817502870799205,0.15253843313423032,skipped_existing
fold_2__h50__seed_2__lb50__supervised,2,50,2,50,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.7415415044155544,5,False,110.44909503078088,0.7520449099924168,0.7540195183598961,0.6323516494866495,0.04383384925126628,skipped_existing
fold_2__h50__seed_2__lb50__deeplob_style__supervised,2,50,2,50,deeplob_style,supervised,none,25,25,25,validation_macro_f1,0.7418621779527337,5,False,68.1489083757624,0.5650849387032407,0.5690865688408341,0.37846219845893214,0.22517298471879257,skipped_existing
fold_2__h50__seed_2__lb100__supervised,2,50,2,100,matrix_transformer,supervised,none,25,21,16,validation_macro_f1,0.41739908003445936,5,True,170.83358760084957,0.3815125267577282,0.387079758053172,0.09208318865971006,0.050645596460656875,skipped_existing
fold_2__h50__seed_2__lb100__deeplob_style__supervised,2,50,2,100,deeplob_style,supervised,none,25,25,21,validation_macro_f1,0.7489631125106367,5,False,104.84185010101646,0.4858340146499313,0.5064003376002251,0.3266982547211106,0.31450623317963544,skipped_existing
fold_3__h10__seed_0__lb20__supervised,3,10,0,20,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.762174030677222,5,False,95.01154656428844,0.7360035844660991,0.8055615609123338,0.6390627684107253,0.034868138588773634,skipped_existing
fold_3__h10__seed_0__lb20__deeplob_style__supervised,3,10,0,20,deeplob_style,supervised,none,25,23,18,validation_macro_f1,0.7630904447434484,5,True,60.87616630829871,0.6256399467520044,0.7357582964003891,0.4964651774698097,0.04742961201202269,skipped_existing
fold_3__h10__seed_0__lb50__supervised,3,10,0,50,matrix_transformer,supervised,none,25,25,22,validation_macro_f1,0.7487371746108629,5,False,149.70425401907414,0.6989331459976871,0.7850651809379564,0.5989940648824439,0.05854836747938528,skipped_existing
fold_3__h10__seed_0__lb50__deeplob_style__supervised,3,10,0,50,deeplob_style,supervised,none,25,25,22,validation_macro_f1,0.7660887666065808,5,False,94.23255618195981,0.5870098527552061,0.7204522096608428,0.46199373143619404,0.06015227080912333,skipped_existing
fold_3__h10__seed_0__lb100__supervised,3,10,0,100,matrix_transformer,supervised,none,25,11,6,validation_macro_f1,0.27769067221596344,5,True,122.64079375192523,0.2729187419615099,0.5994204311558877,0.0605625774702225,0.01088715235554049,skipped_existing
fold_3__h10__seed_0__lb100__deeplob_style__supervised,3,10,0,100,deeplob_style,supervised,none,25,23,18,validation_macro_f1,0.7540326939241201,5,True,131.23440654808655,0.3933360216980719,0.40556277759722675,0.20579496846289677,0.46646980826093165,skipped_existing
fold_3__h10__seed_1__lb20__supervised,3,10,1,20,matrix_transformer,supervised,none,25,22,17,validation_macro_f1,0.7546419689278329,5,True,84.68462380720302,0.7213086756382259,0.797859690844233,0.6243474710158402,0.052378118426792214,skipped_existing
fold_3__h10__seed_1__lb20__deeplob_style__supervised,3,10,1,20,deeplob_style,supervised,none,25,21,16,validation_macro_f1,0.7570754041902124,5,True,56.082159934099764,0.6039327785796959,0.7071667927791591,0.4538988977763663,0.04157871057592034,skipped_existing
fold_3__h10__seed_1__lb50__supervised,3,10,1,50,matrix_transformer,supervised,none,25,15,10,validation_macro_f1,0.7304675192299293,5,True,90.35235123289749,0.69833854239289,0.7786823173040515,0.5890029182189793,0.05522349666555372,skipped_existing
fold_3__h10__seed_1__lb50__deeplob_style__supervised,3,10,1,50,deeplob_style,supervised,none,25,25,22,validation_macro_f1,0.7601949908844342,5,False,93.33561615413055,0.6204371490119615,0.7432790609617569,0.5135577802444872,0.07113199638458906,skipped_existing
fold_3__h10__seed_1__lb100__supervised,3,10,1,100,matrix_transformer,supervised,none,25,9,4,validation_macro_f1,0.2778931489525351,5,True,101.08349295798689,0.30130679621053663,0.6028870111580544,0.1019070455365172,0.046447425668843245,skipped_existing
fold_3__h10__seed_1__lb100__deeplob_style__supervised,3,10,1,100,deeplob_style,supervised,none,25,13,8,validation_macro_f1,0.7498172131408715,5,True,75.29471729975194,0.6676888493046523,0.7667099989166938,0.5616323288215654,0.06098469266720191,skipped_existing
fold_3__h10__seed_2__lb20__supervised,3,10,2,20,matrix_transformer,supervised,none,25,25,21,validation_macro_f1,0.7664449237110174,5,False,95.7144882120192,0.7350295042231197,0.8014809209815155,0.632196144963137,0.0348011103901958,skipped_existing
fold_3__h10__seed_2__lb20__deeplob_style__supervised,3,10,2,20,deeplob_style,supervised,none,25,25,20,validation_macro_f1,0.7572706595291415,5,True,66.00386758334935,0.46530915203814294,0.45722084099016325,0.2692111445540078,0.34285806482541004,skipped_existing
fold_3__h10__seed_2__lb50__supervised,3,10,2,50,matrix_transformer,supervised,none,25,25,25,validation_macro_f1,0.7484354067577326,5,False,151.16416836204007,0.7271961372902568,0.8008600638286364,0.6296106854770881,0.03232444968608288,skipped_existing
fold_3__h10__seed_2__lb50__deeplob_style__supervised,3,10,2,50,deeplob_style,supervised,none,25,24,19,validation_macro_f1,0.7588339659568358,5,True,88.59702488593757,0.442780535188591,0.4364418239844215,0.19005427045653678,0.30888354811855034,skipped_existing
fold_3__h10__seed_2__lb100__supervised,3,10,2,100,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.6307357658671967,5,False,277.902491601184,0.5718614461475071,0.6660437655725273,0.3737016148661127,0.011873169393198288,skipped_existing
fold_3__h10__seed_2__lb100__deeplob_style__supervised,3,10,2,100,deeplob_style,supervised,none,25,24,19,validation_macro_f1,0.7550087703218847,5,True,135.98267897684127,0.39584480939268435,0.40556277759722675,0.22367814732992136,0.5046198230154322,skipped_existing
fold_3__h50__seed_0__lb20__supervised,3,50,0,20,matrix_transformer,supervised,none,25,25,22,validation_macro_f1,0.7906395548625795,5,False,96.1637838720344,0.7653431355038479,0.7635661009620581,0.6463783448540954,0.06295210091382297,skipped_existing
fold_3__h50__seed_0__lb20__deeplob_style__supervised,3,50,0,20,deeplob_style,supervised,none,25,22,17,validation_macro_f1,0.7885399608916513,5,True,58.26749004423618,0.4979905637741362,0.5141065830721003,0.294265240821251,0.10109393247161104,skipped_existing
fold_3__h50__seed_0__lb50__supervised,3,50,0,50,matrix_transformer,supervised,none,25,25,23,validation_macro_f1,0.7919263074975423,5,False,149.9571342151612,0.7688402717084021,0.7671066154595121,0.6516169225034786,0.04352922138535885,skipped_existing
fold_3__h50__seed_0__lb50__deeplob_style__supervised,3,50,0,50,deeplob_style,supervised,none,25,17,12,validation_macro_f1,0.7645044021723221,5,True,63.9113898971118,0.5001758471961847,0.5208795369719262,0.29768414021364936,0.10494835711911898,skipped_existing
fold_3__h50__seed_0__lb100__supervised,3,50,0,100,matrix_transformer,supervised,none,25,19,14,validation_macro_f1,0.3832786945303339,5,True,211.2929237172939,0.39070868948661325,0.39277976383923735,0.08808381141332063,0.016954134070941446,skipped_existing
fold_3__h50__seed_0__lb100__deeplob_style__supervised,3,50,0,100,deeplob_style,supervised,none,25,17,12,validation_macro_f1,0.7684482393855073,5,True,98.39121806202456,0.444921627586836,0.4755714440472322,0.24809507736477374,0.23332422172245804,skipped_existing
fold_3__h50__seed_1__lb20__supervised,3,50,1,20,matrix_transformer,supervised,none,25,25,25,validation_macro_f1,0.7941549747596636,5,False,96.61553171975538,0.7608004244742493,0.7591881958707167,0.6402854396366298,0.07650754791425624,skipped_existing
fold_3__h50__seed_1__lb20__deeplob_style__supervised,3,50,1,20,deeplob_style,supervised,none,25,25,21,validation_macro_f1,0.7872079815739003,5,False,66.01064079627395,0.6672248229427433,0.6664414657874824,0.5019995225978032,0.056919010635952956,skipped_existing
