run_id,fold,horizon,seed,lookback,model_family,confidence_threshold,n_total,n_active,active_fraction,macro_f1,mcc
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,0.9,38378,281,0.007321903173693261,0.8737337536640672,0.8259522219792642
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,0.0,38348,38348,1.0,0.5162278955480383,0.2850297749315215
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,0.5,38348,32370,0.8441118180869928,0.5382393190590707,0.3198572777112045
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,0.6,38348,24988,0.6516115573172003,0.5665405345299481,0.36571934386139343
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,0.7,38348,18152,0.4733493272139355,0.6028906934165729,0.4234513711507694
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,0.8,38348,11838,0.3086992802753729,0.6474443793372796,0.495112157614101
fold_1__h50__seed_0__lb50__supervised,1,50,0,50,matrix_transformer,0.9,38348,4932,0.12861166162511734,0.7259324535980989,0.6135963223067293
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,0.0,38348,38348,1.0,0.41089991108805296,0.1945670943145385
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,0.5,38348,30337,0.7910973192865338,0.4011336646814054,0.22740389996623717
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,0.6,38348,25764,0.6718472932095546,0.3698027490986307,0.2292660565635233
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,0.7,38348,20656,0.5386460832377178,0.33103437482675185,0.21817415505788504
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,0.8,38348,1379,0.03596015437571712,0.7805117215837581,0.7174083886957342
fold_1__h50__seed_0__lb50__deeplob_style__supervised,1,50,0,50,deeplob_style,0.9,38348,2,5.2153958485449043e-05,1.0,0.0
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,0.0,38298,38298,1.0,0.3494453719306752,0.03985405930128925
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,0.5,38298,8944,0.23353699932111338,0.19846818913905398,-0.0059852723084776425
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,0.6,38298,5436,0.14193952686824376,0.16694245265673838,0.0
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,0.7,38298,2555,0.06671366651000052,0.1842726328707637,0.0
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,0.8,38298,0,0.0,,
fold_1__h50__seed_0__lb100__supervised,1,50,0,100,matrix_transformer,0.9,38298,0,0.0,,
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,0.0,38298,38298,1.0,0.42870847539463114,0.19796185085665974
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,0.5,38298,33271,0.8687398819781712,0.4306164217290617,0.2249306553595075
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,0.6,38298,29003,0.7572980312287848,0.4164495493467059,0.23372850172551238
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,0.7,38298,24899,0.6501383884275941,0.38300010385236377,0.23162782946198499
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,0.8,38298,20585,0.537495430570787,0.320251159552656,0.21505843840131225
fold_1__h50__seed_0__lb100__deeplob_style__supervised,1,50,0,100,deeplob_style,0.9,38298,576,0.015039949866833777,0.6596135430823777,0.5912892998217029
