seed,model_family,horizon,lookback,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
1,deeplob_style,10,100,5,0.6086475490752712,0.14554791035134132,0.5550562975366972,0.1125470397198222,0.3957678877286695,0.16139109690617345,0.5488676499640488,0.20439458853373188,0.18234839067896616,0.133744272203872
1,deeplob_style,50,20,5,0.5624785893180712,0.07718381285721033,0.5393642617665831,0.10119384153332889,0.3663984135107281,0.10676285467465077,0.6122895972667484,0.09909801150524689,0.1723216629539988,0.0878752319041437
1,deeplob_style,50,50,5,0.5333659698425757,0.05121081279173952,0.5154089293208514,0.058555381058011495,0.32453529474688236,0.07984677640849,0.6269355366275458,0.10048695529659298,0.1661293585457137,0.11405161669474302
1,deeplob_style,50,100,5,0.5401789303261746,0.03199879184091737,0.5293284985345424,0.03535215768506872,0.3414553652774847,0.0560133455809134,0.6396654341382881,0.11680198707648043,0.21090661662598684,0.08206674715962216
1,matrix_transformer,10,20,5,0.7942660015022538,0.031146794804516174,0.7244029520599972,0.031194481522745964,0.6174682941134444,0.04641789266578231,0.28532264955639447,0.04639407089304263,0.03482629459862346,0.01822121986980348
1,matrix_transformer,10,50,5,0.717378798118117,0.18616031971229108,0.63447323589339,0.2028718526234481,0.49124477315445925,0.29433388320050324,0.3628835042207153,0.18086736201302012,0.06351126411909586,0.048991110538273874
1,matrix_transformer,10,100,5,0.44355690277298276,0.08989077397823748,0.28291294126511507,0.01512578893399584,0.0038508966268017584,0.060168565087640576,0.6360610918206872,0.057239582535813016,0.12995815063588875,0.0489782296356055
1,matrix_transformer,50,20,5,0.749633424231107,0.0672730679562846,0.7501845284424966,0.06558072930537139,0.62522759182558,0.10020861618926617,0.3521674929529974,0.08276730062690457,0.05714145989441564,0.02492330923745125
1,matrix_transformer,50,50,5,0.7192962957198962,0.11337993361459923,0.7182072163839096,0.11587978360885137,0.5799184928708916,0.16917113297891762,0.38704437855251256,0.1379208135993448,0.059610294283416076,0.05238264702794957
1,matrix_transformer,50,100,5,0.49179219364909665,0.12290642040049198,0.48438319877885555,0.12753476555351131,0.2328840698120655,0.18670568167046783,0.5967983002956567,0.09711813396734567,0.0575352925731669,0.016969750157096133
