fold,model_family,horizon,lookback,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
4,matrix_transformer,50,100,3,0.5259855080820312,0.04820920829902453,0.5117928249811975,0.05303116990863605,0.2781897593318766,0.07539858925776359,0.5963737475149272,0.03863943274199519,0.09356942341425234,0.0252268602810239
5,deeplob_style,10,20,3,0.5431647629025801,0.002834100831437351,0.5284322028118004,0.004467021588234786,0.3503314025987121,0.007053086709864641,0.6097237279303026,0.026370498962476095,0.21553525059725434,0.017330087856298557
5,deeplob_style,10,50,3,0.5409474123895012,0.0008047863850263842,0.5243345240456927,0.005888668246256074,0.3438215406732387,0.007024736269225766,0.6501306491355806,0.01042293107492612,0.23267555285013033,0.006960369597253529
5,deeplob_style,10,100,3,0.552710419173943,0.03703856490731199,0.5259657935511444,0.013154375252547408,0.32976089962913585,0.01237348775405406,0.6030230082681172,0.09375223410722351,0.20218735933722418,0.06020652859483853
5,deeplob_style,50,20,3,0.5842298486358487,0.018915764053415454,0.5800073160401553,0.0287175915763663,0.4165305674188812,0.007706051751031322,0.6812628492344603,0.12651554676650884,0.26835665151382737,0.0902992350094591
5,deeplob_style,50,50,3,0.5576213248770342,0.0036173903780133917,0.542024632736369,0.004661742705185508,0.4005626706468916,0.003917634479127391,0.7545298931395711,0.04543663620348508,0.32366251587213846,0.022196036311104846
5,deeplob_style,50,100,3,0.5619371964595122,0.005683448167514429,0.5565132786871932,0.016400382648575972,0.3846098278611561,0.020789624117938086,0.6601386672008617,0.07394397076197778,0.24261926011387722,0.06811376945567849
5,matrix_transformer,10,20,3,0.821199499143945,0.0017487146000486193,0.7590668764118936,0.0027627592265518338,0.6629961779921189,0.0023112761848958227,0.2426974430141081,0.00030543414476393136,0.024877059779454702,0.004617265860385413
5,matrix_transformer,10,50,3,0.8141745305134304,0.0035408273753727046,0.7440864629632942,0.005421197038268596,0.647296565692773,0.006778439488031442,0.26108118612655684,0.007731209380882727,0.03696005388743253,0.006379235955859127
5,matrix_transformer,10,100,3,0.41794484418610606,0.00011734247548092342,0.2846975631239281,5.2400938972265765e-05,0.012412566892150067,4.709958624868828e-05,0.6408963025071257,0.005983360295876537,0.16375468440420626,0.011834070556471857
5,matrix_transformer,50,20,3,0.8164379594374739,0.0036570927084333188,0.8158949620689911,0.00359100348355863,0.72478966251142,0.005608713018090567,0.2652043214014512,0.006255496627006336,0.021508817813264167,0.00784927168789908
5,matrix_transformer,50,50,3,0.8099890034012734,0.007780898416006459,0.8089792291250234,0.008069231563714786,0.7163312774448382,0.01101888040522078,0.2748440687433072,0.00763785660782622,0.030293321987575835,0.005314822280903375
5,matrix_transformer,50,100,3,0.6112547904983825,0.09987146085774037,0.611924502120206,0.10139774322210586,0.419605474438419,0.14959018062047838,0.49709427481392426,0.08901455713030053,0.050644428010559295,0.01334512740888173
