horizon,model,ablation_mode,feature_group,completed_runs,failed_runs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mcc,std_mcc,mean_ece
20,ridge,only_one_group,top_of_book,15,0,0.4949339411765724,0.02596911876795757,0.22070975332829676,0.007617700942270426,0.0036184354527557115,0.004911297827983133,
20,ridge,only_one_group,top_of_book_imbalance,15,0,0.49488591025319567,0.025981784561737054,0.2205701902697884,0.007660772844954904,-0.00036738704171120144,0.0016079196884136403,
20,ridge,only_one_group,volatility_proxy,15,0,0.4943647730397292,0.026047767158275316,0.22091009824564817,0.00789037092702842,-0.006552823522138206,0.00536880481448626,
20,ridge,raw_lob_only,raw_lob,15,0,0.4980499805987317,0.024780899813913085,0.25706082882746917,0.011527634103283889,0.05497706053440581,0.026732121605673814,
20,ridge,remove_one_group,depth_imbalance,15,0,0.5359247417763194,0.019315781279875054,0.36298476814666447,0.015209880005388822,0.18961581623980436,0.022897742239637097,
20,ridge,remove_one_group,depth_slope,15,0,0.5359525618176053,0.019338591549769083,0.3631184052517155,0.015183275166287188,0.18968583819904594,0.02303935163315339,
20,ridge,remove_one_group,liquidity_concentration,15,0,0.5359239371100298,0.019361123863428337,0.36305539420386806,0.015243949225448894,0.18960944806857055,0.023129064491076767,
20,ridge,remove_one_group,microprice,15,0,0.5358662227884603,0.019397921821111202,0.36297229790539265,0.01514860240204105,0.18947169371325193,0.02317122586010153,
20,ridge,remove_one_group,midprice,15,0,0.5359859083334052,0.019395305643443647,0.36290370516856857,0.015267630796168323,0.18984471884523862,0.02341263065736698,
20,ridge,remove_one_group,price_levels,15,0,0.5359983859011075,0.020288986309401832,0.35840070322878803,0.015675306540801178,0.19097274063033826,0.02008079261473032,
20,ridge,remove_one_group,size_levels,15,0,0.536382269539735,0.019144987420269433,0.3571450286124834,0.015561058818797546,0.19258623238489525,0.017764730120502278,
20,ridge,remove_one_group,snapshot_order_flow_proxy,15,0,0.501995897766699,0.022906740920878604,0.2732274533153402,0.01537979677169577,0.07618647084104575,0.023462585886107747,
20,ridge,remove_one_group,spread,15,0,0.531492508807552,0.021743936517954084,0.35033764787884575,0.015100766917898625,0.1781789140101928,0.029230810739208524,
20,ridge,remove_one_group,top_of_book,15,0,0.536036690335997,0.01932877885596379,0.3626021234184839,0.01521653914715703,0.19001107453304653,0.023076316017712643,
20,ridge,remove_one_group,top_of_book_imbalance,15,0,0.5359525618176053,0.019338591549769083,0.3631184052517155,0.015183275166287188,0.18968583819904594,0.02303935163315339,
20,ridge,remove_one_group,volatility_proxy,15,0,0.5364231513177301,0.019183452685446894,0.36325591242938865,0.015174824491478629,0.19121904070425308,0.023157975943141187,
50,logistic,all_features,all,15,0,0.4317090180268704,0.025806311681169012,0.42327382161049787,0.020484575684886208,0.145410535628237,0.034164888641062735,0.02796515708757161
50,logistic,derived_microstructure_only,derived_microstructure,15,0,0.3818125256256217,0.022021329635803572,0.36838691583099353,0.0200027557529921,0.07270287692623481,0.032102809888204124,0.04473621230105211
50,logistic,no_proxy_features,no_proxy,15,0,0.4119681414561376,0.02289055359847104,0.4034194138875981,0.01953618415799818,0.11520172832369042,0.02848531219745747,0.024788961275739728
50,logistic,only_one_group,depth_imbalance,15,0,0.3306187466290693,0.019503173197026075,0.16600407237827672,0.007369663985403072,-0.004850247859716944,0.005005899843736777,0.02560093195045866
50,logistic,only_one_group,depth_slope,15,0,0.3261851662699715,0.017198450465194144,0.23658840428059838,0.0194734205463866,-0.016830684938780812,0.01634716105329941,0.03205028192567
50,logistic,only_one_group,liquidity_concentration,15,0,0.33087645524268156,0.019284240545389103,0.16627325354976966,0.0068305970084426085,0.001691507900274691,0.0022489393270068853,0.025282927570472534
50,logistic,only_one_group,microprice,15,0,0.33418779951468214,0.015902158949381257,0.1859365727050998,0.03640598551282635,-0.00491391754684408,0.006635325730407091,0.0234328770014358
50,logistic,only_one_group,midprice,15,0,0.3342092143970761,0.01590410898120037,0.18594601924705229,0.03641159017369158,-0.003337428986136635,0.006674857972273268,0.023411397560700042
50,logistic,only_one_group,price_levels,15,0,0.38129882473987114,0.029873862201601938,0.3364930495485442,0.01651473400518686,0.07561308738928094,0.03137516139255794,0.029329366209994403
50,logistic,only_one_group,size_levels,15,0,0.3773310132582058,0.024239141088796087,0.3487144104935656,0.02107657505560154,0.06251717251673028,0.02276400631876925,0.0274634129084642
50,logistic,only_one_group,snapshot_order_flow_proxy,15,0,0.3715608836307516,0.021799096826716387,0.29614344721014746,0.01561817745184016,0.07596676468395566,0.028012943028078663,0.053785661120508865
50,logistic,only_one_group,spread,15,0,0.3602137555287534,0.014186487738990826,0.2887353573481598,0.03041848491080718,0.052171025350700596,0.02196944728858123,0.020142321888164085
50,logistic,only_one_group,top_of_book,15,0,0.34314074358036295,0.012641076299853596,0.2753709026537689,0.028859417206819196,0.009232038456468559,0.008079117945571389,0.01691345431306401
50,logistic,only_one_group,top_of_book_imbalance,15,0,0.3307093202812539,0.019398425653366934,0.1656920449047448,0.007301070015430385,-0.0029286579506591875,0.005314964354555831,0.025463429366451643
50,logistic,only_one_group,volatility_proxy,15,0,0.33066163091910283,0.019535459140838568,0.1664318013858669,0.007399612011305894,-0.0028598063282007815,0.004144983172969948,0.025818617867819183
50,logistic,raw_lob_only,raw_lob,15,0,0.40881196757079813,0.02544599589749051,0.39489905041094825,0.020335438998802993,0.11040259622431375,0.030184296809019486,0.02445689993505766
50,logistic,remove_one_group,depth_imbalance,15,0,0.43172994479567134,0.02550283893769612,0.42315237075669615,0.020115347636900288,0.14557051627344386,0.03377282406916807,0.028515737830279615
50,logistic,remove_one_group,depth_slope,15,0,0.43181156547014005,0.025779156282604986,0.42312742515600904,0.02037260261606335,0.1455626068753825,0.03421271199226965,0.028059141883279758
50,logistic,remove_one_group,liquidity_concentration,15,0,0.43255858873972675,0.025954013742846643,0.42460324562108376,0.020397650462233227,0.146542261150825,0.034628213726434376,0.028911294552729946
50,logistic,remove_one_group,microprice,15,0,0.4319200845405375,0.02564068947355355,0.42346169598275923,0.02029317749378524,0.14573125280351387,0.0340297408240963,0.027903049271948383
50,logistic,remove_one_group,midprice,15,0,0.431557836406264,0.025451924759686887,0.4229329586047939,0.020057286777643152,0.1453042017717773,0.03367044018219212,0.02870501295947827
50,logistic,remove_one_group,price_levels,15,0,0.4192841751984497,0.023135832711644072,0.41081209880954117,0.01879630546482001,0.1271710932288839,0.030782717036711704,0.027158627460501815
50,logistic,remove_one_group,size_levels,15,0,0.41151493194250577,0.02016153383441114,0.4040974826440353,0.01460001643768079,0.11517454350951589,0.02772543871787325,0.02766283577096164
50,logistic,remove_one_group,snapshot_order_flow_proxy,15,0,0.4119681414561376,0.02289055359847104,0.4034194138875981,0.01953618415799818,0.11520172832369042,0.02848531219745747,0.024788961275739728
50,logistic,remove_one_group,spread,15,0,0.4288484233655244,0.029471448988635626,0.4139368962853428,0.022897133465552593,0.14147714154655502,0.03783424120210956,0.0285359901891075
