ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason
horizon,horizon_100,fold_2,logistic,test,accuracy,0.43693709479586473,0.6447520588750657,-0.20781496407920097,ok,
horizon,horizon_100,fold_2,logistic,test,macro_f1,0.3446370747496273,0.31135009744071246,0.033286977308914834,ok,
horizon,horizon_100,fold_2,logistic,test,mcc,0.09407456979827876,0.09594275620858116,-0.001868186410302397,ok,
feature_groups,all_features,fold_3,logistic,validation,accuracy,0.6755808855765015,0.6755808855765015,0.0,ok,
feature_groups,all_features,fold_3,logistic,validation,macro_f1,0.3196867845286192,0.3196867845286192,0.0,ok,
feature_groups,all_features,fold_3,logistic,validation,mcc,0.09375924442566622,0.09375924442566622,0.0,ok,
feature_groups,all_features,fold_3,logistic,test,accuracy,0.6069740431623585,0.6069740431623585,0.0,ok,
feature_groups,all_features,fold_3,logistic,test,macro_f1,0.3255002225412065,0.3255002225412065,0.0,ok,
feature_groups,all_features,fold_3,logistic,test,mcc,0.12785368394134666,0.12785368394134666,0.0,ok,
feature_groups,top_of_book_only,fold_3,logistic,validation,accuracy,0.6774597607565604,0.6755808855765015,0.0018788751800589143,ok,
feature_groups,top_of_book_only,fold_3,logistic,validation,macro_f1,0.2692403424930307,0.3196867845286192,-0.05044644203558851,ok,
feature_groups,top_of_book_only,fold_3,logistic,validation,mcc,0.0,0.09375924442566622,-0.09375924442566622,ok,
feature_groups,top_of_book_only,fold_3,logistic,test,accuracy,0.5981146854657915,0.6069740431623585,-0.008859357696566983,ok,
feature_groups,top_of_book_only,fold_3,logistic,test,macro_f1,0.24950845347350156,0.3255002225412065,-0.07599176906770491,ok,
feature_groups,top_of_book_only,fold_3,logistic,test,mcc,0.0,0.12785368394134666,-0.12785368394134666,ok,
feature_groups,depth_features,fold_3,logistic,validation,accuracy,0.6767708398572055,0.6755808855765015,0.0011899542807040087,ok,
feature_groups,depth_features,fold_3,logistic,validation,macro_f1,0.2731628418917508,0.3196867845286192,-0.04652394263686843,ok,
feature_groups,depth_features,fold_3,logistic,validation,mcc,0.021795966764338183,0.09375924442566622,-0.07196327766132804,ok,
feature_groups,depth_features,fold_3,logistic,test,accuracy,0.6001134429948951,0.6069740431623585,-0.006860600167463371,ok,
feature_groups,depth_features,fold_3,logistic,test,macro_f1,0.26247976368211506,0.3255002225412065,-0.06302045885909141,ok,
feature_groups,depth_features,fold_3,logistic,test,mcc,0.056530402757326834,0.12785368394134666,-0.07132328118401983,ok,
feature_groups,liquidity_depth_features,fold_3,logistic,validation,accuracy,0.6774597607565604,0.6755808855765015,0.0018788751800589143,ok,
feature_groups,liquidity_depth_features,fold_3,logistic,validation,macro_f1,0.2692403424930307,0.3196867845286192,-0.05044644203558851,ok,
feature_groups,liquidity_depth_features,fold_3,logistic,validation,mcc,0.0,0.09375924442566622,-0.09375924442566622,ok,
feature_groups,liquidity_depth_features,fold_3,logistic,test,accuracy,0.5982497366501904,0.6069740431623585,-0.008724306512168045,ok,
feature_groups,liquidity_depth_features,fold_3,logistic,test,macro_f1,0.2500606176543975,0.3255002225412065,-0.07543960488680895,ok,
feature_groups,liquidity_depth_features,fold_3,logistic,test,mcc,0.013940700146689874,0.12785368394134666,-0.1139129837946568,ok,
feature_groups,price_only,fold_3,logistic,validation,accuracy,0.6773971315838918,0.6755808855765015,0.0018162460073902764,ok,
feature_groups,price_only,fold_3,logistic,validation,macro_f1,0.2720535325696248,0.3196867845286192,-0.04763325195899443,ok,
feature_groups,price_only,fold_3,logistic,validation,mcc,0.022563563233650854,0.09375924442566622,-0.07119568119201536,ok,
feature_groups,price_only,fold_3,logistic,test,accuracy,0.6005996272587311,0.6069740431623585,-0.006374415903627417,ok,
feature_groups,price_only,fold_3,logistic,test,macro_f1,0.26271172647030827,0.3255002225412065,-0.0627884960708982,ok,
feature_groups,price_only,fold_3,logistic,test,mcc,0.060588702627801035,0.12785368394134666,-0.06726498131354564,ok,
feature_groups,labels_excluded,fold_3,logistic,validation,accuracy,0.6755808855765015,0.6755808855765015,0.0,ok,
feature_groups,labels_excluded,fold_3,logistic,validation,macro_f1,0.3196867845286192,0.3196867845286192,0.0,ok,
feature_groups,labels_excluded,fold_3,logistic,validation,mcc,0.09375924442566622,0.09375924442566622,0.0,ok,
feature_groups,labels_excluded,fold_3,logistic,test,accuracy,0.6069740431623585,0.6069740431623585,0.0,ok,
feature_groups,labels_excluded,fold_3,logistic,test,macro_f1,0.3255002225412065,0.3255002225412065,0.0,ok,
feature_groups,labels_excluded,fold_3,logistic,test,mcc,0.12785368394134666,0.12785368394134666,0.0,ok,
horizon,horizon_10,fold_3,logistic,validation,accuracy,0.6755808855765015,0.6755808855765015,0.0,ok,
horizon,horizon_10,fold_3,logistic,validation,macro_f1,0.3196867845286192,0.3196867845286192,0.0,ok,
horizon,horizon_10,fold_3,logistic,validation,mcc,0.09375924442566622,0.09375924442566622,0.0,ok,
horizon,horizon_10,fold_3,logistic,test,accuracy,0.6069740431623585,0.6069740431623585,0.0,ok,
horizon,horizon_10,fold_3,logistic,test,macro_f1,0.3255002225412065,0.3255002225412065,0.0,ok,
horizon,horizon_10,fold_3,logistic,test,mcc,0.12785368394134666,0.12785368394134666,0.0,ok,
horizon,horizon_50,fold_3,logistic,validation,accuracy,0.4642074278198785,0.6755808855765015,-0.21137345775662303,ok,
horizon,horizon_50,fold_3,logistic,validation,macro_f1,0.45379911366762316,0.3196867845286192,0.13411232913900395,ok,
horizon,horizon_50,fold_3,logistic,validation,mcc,0.18257450137022668,0.09375924442566622,0.08881525694456047,ok,
horizon,horizon_50,fold_3,logistic,test,accuracy,0.4429408745914702,0.6069740431623585,-0.1640331685708883,ok,
horizon,horizon_50,fold_3,logistic,test,macro_f1,0.4414561957984257,0.3255002225412065,0.11595597325721924,ok,
horizon,horizon_50,fold_3,logistic,test,mcc,0.1632216298788415,0.12785368394134666,0.035367945937494844,ok,
horizon,horizon_100,fold_3,logistic,validation,accuracy,0.44360243001189953,0.6755808855765015,-0.231978455564602,ok,
horizon,horizon_100,fold_3,logistic,validation,macro_f1,0.37456822927449834,0.3196867845286192,0.05488144474587914,ok,
horizon,horizon_100,fold_3,logistic,validation,mcc,0.16606758303908045,0.09375924442566622,0.07230833861341424,ok,
horizon,horizon_100,fold_3,logistic,test,accuracy,0.4967722766928666,0.6069740431623585,-0.11020176646949187,ok,
horizon,horizon_100,fold_3,logistic,test,macro_f1,0.38948738387172344,0.3255002225412065,0.06398716133051696,ok,
horizon,horizon_100,fold_3,logistic,test,mcc,0.1621954297059801,0.12785368394134666,0.03434174576463345,ok,
feature_groups,all_features,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6641884670786673,0.0,ok,
feature_groups,all_features,fold_4,logistic,validation,macro_f1,0.34610236672458944,0.34610236672458944,0.0,ok,
feature_groups,all_features,fold_4,logistic,validation,mcc,0.1374370891239947,0.1374370891239947,0.0,ok,
feature_groups,all_features,fold_4,logistic,test,accuracy,0.5945091274974845,0.5945091274974845,0.0,ok,
feature_groups,all_features,fold_4,logistic,test,macro_f1,0.31890180798174184,0.31890180798174184,0.0,ok,
feature_groups,all_features,fold_4,logistic,test,mcc,0.12976720989395235,0.12976720989395235,0.0,ok,
feature_groups,top_of_book_only,fold_4,logistic,validation,accuracy,0.6600529715161935,0.6641884670786673,-0.004135495562473834,ok,
feature_groups,top_of_book_only,fold_4,logistic,validation,macro_f1,0.26507305603761966,0.34610236672458944,-0.08102931068696978,ok,
feature_groups,top_of_book_only,fold_4,logistic,validation,mcc,0.0,0.1374370891239947,-0.1374370891239947,ok,
feature_groups,top_of_book_only,fold_4,logistic,test,accuracy,0.583096162138853,0.5945091274974845,-0.011412965358631566,ok,
feature_groups,top_of_book_only,fold_4,logistic,test,macro_f1,0.24555095518268322,0.31890180798174184,-0.07335085279905862,ok,
feature_groups,top_of_book_only,fold_4,logistic,test,mcc,0.0,0.12976720989395235,-0.12976720989395235,ok,
feature_groups,depth_features,fold_4,logistic,validation,accuracy,0.6622368849031179,0.6641884670786673,-0.00195158217554936,ok,
feature_groups,depth_features,fold_4,logistic,validation,macro_f1,0.28727364936668237,0.34610236672458944,-0.05882871735790707,ok,
feature_groups,depth_features,fold_4,logistic,validation,mcc,0.07825033415781746,0.1374370891239947,-0.05918675496617723,ok,
feature_groups,depth_features,fold_4,logistic,test,accuracy,0.5839873508696277,0.5945091274974845,-0.010521776627856805,ok,
feature_groups,depth_features,fold_4,logistic,test,macro_f1,0.2536907986551717,0.31890180798174184,-0.06521100932657015,ok,
feature_groups,depth_features,fold_4,logistic,test,mcc,0.038311872222576815,0.12976720989395235,-0.09145533767137554,ok,
feature_groups,liquidity_depth_features,fold_4,logistic,validation,accuracy,0.6600529715161935,0.6641884670786673,-0.004135495562473834,ok,
feature_groups,liquidity_depth_features,fold_4,logistic,validation,macro_f1,0.26507305603761966,0.34610236672458944,-0.08102931068696978,ok,
feature_groups,liquidity_depth_features,fold_4,logistic,validation,mcc,0.0,0.1374370891239947,-0.1374370891239947,ok,
feature_groups,liquidity_depth_features,fold_4,logistic,test,accuracy,0.5832111542331465,0.5945091274974845,-0.011297973264338013,ok,
feature_groups,liquidity_depth_features,fold_4,logistic,test,macro_f1,0.24603512077210546,0.31890180798174184,-0.07286668720963638,ok,
feature_groups,liquidity_depth_features,fold_4,logistic,test,mcc,0.012399852046353915,0.12976720989395235,-0.11736735784759844,ok,
feature_groups,price_only,fold_4,logistic,validation,accuracy,0.6640955345941174,0.6641884670786673,-9.293248454989023e-05,ok,
