ablation_family,ablation_name,model_name,split,metric_name,fold_count,metric_value_mean,baseline_value_mean,delta_vs_baseline_mean,delta_vs_baseline_std,status
feature_groups,price_only,logistic,validation,mcc,5,0.04393535551784812,0.11666763508774987,-0.07273227956990176,0.01780134547932166,ok
feature_groups,top_of_book_only,logistic,test,accuracy,5,0.605783366044841,0.6124873871288532,-0.006704021084012246,0.003870822810954807,ok
feature_groups,top_of_book_only,logistic,test,macro_f1,5,0.251428376603215,0.32606759805121416,-0.0746392214479992,0.013386972193710696,ok
feature_groups,top_of_book_only,logistic,test,mcc,5,0.0,0.12268834542905349,-0.12268834542905349,0.015255086404003367,ok
feature_groups,top_of_book_only,logistic,validation,accuracy,5,0.6419970153952785,0.6429551082318454,-0.0009580928365669594,0.0029597037637029925,ok
feature_groups,top_of_book_only,logistic,validation,macro_f1,5,0.26057719658930073,0.33514239015669745,-0.07456519356739674,0.017531023127730277,ok
feature_groups,top_of_book_only,logistic,validation,mcc,5,0.0,0.11666763508774987,-0.11666763508774987,0.018626996008203278,ok
horizon,horizon_10,logistic,test,accuracy,5,0.6124873871288532,0.6124873871288532,0.0,0.0,ok
horizon,horizon_10,logistic,test,macro_f1,5,0.32606759805121416,0.32606759805121416,0.0,0.0,ok
horizon,horizon_10,logistic,test,mcc,5,0.12268834542905349,0.12268834542905349,0.0,0.0,ok
horizon,horizon_10,logistic,validation,accuracy,5,0.6429551082318454,0.6429551082318454,0.0,0.0,ok
horizon,horizon_10,logistic,validation,macro_f1,5,0.33514239015669745,0.33514239015669745,0.0,0.0,ok
horizon,horizon_10,logistic,validation,mcc,5,0.11666763508774987,0.11666763508774987,0.0,0.0,ok
horizon,horizon_100,logistic,test,accuracy,5,0.49153913346408673,0.6124873871288532,-0.1209482536647665,0.05401786832350512,ok
horizon,horizon_100,logistic,test,macro_f1,5,0.3862524304066415,0.32606759805121416,0.06018483235542728,0.02390058505451977,ok
horizon,horizon_100,logistic,test,mcc,5,0.1630360067686643,0.12268834542905349,0.04034766133961076,0.03541598574863747,ok
