ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,baseline_model
model_class,elastic_net,fold_5,elastic_net,test,mcc,0.1422422266539718,0.2881982864388251,-0.14595605978485332,ok,,gradient_boosting
model_class,gradient_boosting,fold_5,gradient_boosting,test,mcc,0.2881982864388251,0.2881982864388251,0.0,ok,,gradient_boosting
model_class,logistic,fold_5,logistic,test,mcc,0.1414786576447194,0.2881982864388251,-0.14671962879410572,ok,,gradient_boosting
model_class,majority,fold_5,majority,test,mcc,0.0,0.2881982864388251,-0.2881982864388251,ok,,gradient_boosting
model_class,random_forest,fold_5,random_forest,test,mcc,0.2655949786960263,0.2881982864388251,-0.02260330774279884,ok,,gradient_boosting
model_class,ridge,fold_5,ridge,test,mcc,0.1284154898943473,0.2881982864388251,-0.1597827965444778,ok,,gradient_boosting
model_class,elastic_net,fold_1,elastic_net,validation,accuracy,0.6165007592373882,0.6030032056689725,0.013497553568415754,ok,,gradient_boosting
model_class,gradient_boosting,fold_1,gradient_boosting,validation,accuracy,0.6030032056689725,0.6030032056689725,0.0,ok,,gradient_boosting
model_class,logistic,fold_1,logistic,validation,accuracy,0.6166694786569934,0.6030032056689725,0.013666272988020922,ok,,gradient_boosting
model_class,majority,fold_1,majority,validation,accuracy,0.6149822844609415,0.6030032056689725,0.011979078791969022,ok,,gradient_boosting
model_class,random_forest,fold_1,random_forest,validation,accuracy,0.599122659018053,0.6030032056689725,-0.0038805466509195252,ok,,gradient_boosting
model_class,ridge,fold_1,ridge,validation,accuracy,0.6158258815589674,0.6030032056689725,0.012822675889994972,ok,,gradient_boosting
model_class,elastic_net,fold_2,elastic_net,validation,accuracy,0.625737999486609,0.6461880722169933,-0.02045007273038424,ok,,gradient_boosting
model_class,gradient_boosting,fold_2,gradient_boosting,validation,accuracy,0.6461880722169933,0.6461880722169933,0.0,ok,,gradient_boosting
model_class,logistic,fold_2,logistic,validation,accuracy,0.6255668691708737,0.6461880722169933,-0.020621203046119585,ok,,gradient_boosting
model_class,majority,fold_2,majority,validation,accuracy,0.6286472148541115,0.6461880722169933,-0.0175408573628818,ok,,gradient_boosting
model_class,random_forest,fold_2,random_forest,validation,accuracy,0.6283049542226405,0.6461880722169933,-0.017883117994352715,ok,,gradient_boosting
model_class,ridge,fold_2,ridge,validation,accuracy,0.6293317361170532,0.6461880722169933,-0.016856336099940084,ok,,gradient_boosting
model_class,elastic_net,fold_3,elastic_net,validation,accuracy,0.6756435147491702,0.688169349282896,-0.0125258345337258,ok,,gradient_boosting
model_class,gradient_boosting,fold_3,gradient_boosting,validation,accuracy,0.688169349282896,0.688169349282896,0.0,ok,,gradient_boosting
model_class,logistic,fold_3,logistic,validation,accuracy,0.6755808855765015,0.688169349282896,-0.012588463706394437,ok,,gradient_boosting
model_class,majority,fold_3,majority,validation,accuracy,0.6774597607565604,0.688169349282896,-0.010709588526335523,ok,,gradient_boosting
model_class,random_forest,fold_3,random_forest,validation,accuracy,0.6604246257906933,0.688169349282896,-0.027744723492202694,ok,,gradient_boosting
model_class,ridge,fold_3,ridge,validation,accuracy,0.6776476482745662,0.688169349282896,-0.01052170100832972,ok,,gradient_boosting
model_class,elastic_net,fold_4,elastic_net,validation,accuracy,0.6641884670786673,0.6739463779564147,-0.009757910877747356,ok,,gradient_boosting
model_class,gradient_boosting,fold_4,gradient_boosting,validation,accuracy,0.6739463779564147,0.6739463779564147,0.0,ok,,gradient_boosting
model_class,logistic,fold_4,logistic,validation,accuracy,0.6641884670786673,0.6739463779564147,-0.009757910877747356,ok,,gradient_boosting
model_class,majority,fold_4,majority,validation,accuracy,0.6600529715161935,0.6739463779564147,-0.01389340644022119,ok,,gradient_boosting
model_class,random_forest,fold_4,random_forest,validation,accuracy,0.6017843037033596,0.6739463779564147,-0.0721620742530551,ok,,gradient_boosting
model_class,ridge,fold_4,ridge,validation,accuracy,0.6658147855582919,0.6739463779564147,-0.008131592398122778,ok,,gradient_boosting
model_class,elastic_net,fold_5,elastic_net,validation,accuracy,0.6328820405415514,0.6467574238910914,-0.013875383349539971,ok,,gradient_boosting
model_class,gradient_boosting,fold_5,gradient_boosting,validation,accuracy,0.6467574238910914,0.6467574238910914,0.0,ok,,gradient_boosting
model_class,logistic,fold_5,logistic,validation,accuracy,0.6327698406761912,0.6467574238910914,-0.013987583214900123,ok,,gradient_boosting
model_class,majority,fold_5,majority,validation,accuracy,0.6288428453885855,0.6467574238910914,-0.017914578502505885,ok,,gradient_boosting
model_class,random_forest,fold_5,random_forest,validation,accuracy,0.6327698406761912,0.6467574238910914,-0.013987583214900123,ok,,gradient_boosting
model_class,ridge,fold_5,ridge,validation,accuracy,0.6344902386117137,0.6467574238910914,-0.012267185279377646,ok,,gradient_boosting
model_class,elastic_net,fold_1,elastic_net,validation,macro_f1,0.3107250483051771,0.411139020038419,-0.1004139717332419,ok,,gradient_boosting
model_class,gradient_boosting,fold_1,gradient_boosting,validation,macro_f1,0.411139020038419,0.411139020038419,0.0,ok,,gradient_boosting
model_class,logistic,fold_1,logistic,validation,macro_f1,0.3112203327864108,0.411139020038419,-0.0999186872520082,ok,,gradient_boosting
model_class,majority,fold_1,majority,validation,macro_f1,0.2538654408692019,0.411139020038419,-0.15727357916921714,ok,,gradient_boosting
model_class,random_forest,fold_1,random_forest,validation,macro_f1,0.3924954464834502,0.411139020038419,-0.018643573554968818,ok,,gradient_boosting
model_class,ridge,fold_1,ridge,validation,macro_f1,0.2948280325148483,0.411139020038419,-0.11631098752357072,ok,,gradient_boosting
model_class,elastic_net,fold_2,elastic_net,validation,macro_f1,0.3475002202655253,0.440480517431431,-0.09298029716590572,ok,,gradient_boosting
model_class,gradient_boosting,fold_2,gradient_boosting,validation,macro_f1,0.440480517431431,0.440480517431431,0.0,ok,,gradient_boosting
model_class,logistic,fold_2,logistic,validation,macro_f1,0.3471808993097245,0.440480517431431,-0.0932996181217065,ok,,gradient_boosting
model_class,majority,fold_2,majority,validation,macro_f1,0.257328990228013,0.440480517431431,-0.18315152720341804,ok,,gradient_boosting
model_class,random_forest,fold_2,random_forest,validation,macro_f1,0.4040332124050307,0.440480517431431,-0.03644730502640031,ok,,gradient_boosting
model_class,ridge,fold_2,ridge,validation,macro_f1,0.3287159108930106,0.440480517431431,-0.11176460653842041,ok,,gradient_boosting
model_class,elastic_net,fold_3,elastic_net,validation,macro_f1,0.3203446027585914,0.4189741115945937,-0.0986295088360023,ok,,gradient_boosting
model_class,gradient_boosting,fold_3,gradient_boosting,validation,macro_f1,0.4189741115945937,0.4189741115945937,0.0,ok,,gradient_boosting
model_class,logistic,fold_3,logistic,validation,macro_f1,0.3196867845286192,0.4189741115945937,-0.09928732706597448,ok,,gradient_boosting
model_class,majority,fold_3,majority,validation,macro_f1,0.2692403424930307,0.4189741115945937,-0.149733769101563,ok,,gradient_boosting
model_class,random_forest,fold_3,random_forest,validation,macro_f1,0.3924233490177897,0.4189741115945937,-0.026550762576804,ok,,gradient_boosting
model_class,ridge,fold_3,ridge,validation,macro_f1,0.3083157349285011,0.4189741115945937,-0.11065837666609257,ok,,gradient_boosting
model_class,elastic_net,fold_4,elastic_net,validation,macro_f1,0.3463809036676584,0.4343045289775407,-0.08792362530988229,ok,,gradient_boosting
model_class,gradient_boosting,fold_4,gradient_boosting,validation,macro_f1,0.4343045289775407,0.4343045289775407,0.0,ok,,gradient_boosting
model_class,logistic,fold_4,logistic,validation,macro_f1,0.3461023667245894,0.4343045289775407,-0.0882021622529513,ok,,gradient_boosting
model_class,majority,fold_4,majority,validation,macro_f1,0.2650730560376196,0.4343045289775407,-0.16923147293992108,ok,,gradient_boosting
model_class,random_forest,fold_4,random_forest,validation,macro_f1,0.4045186719216784,0.4343045289775407,-0.029785857055862286,ok,,gradient_boosting
model_class,ridge,fold_4,ridge,validation,macro_f1,0.3371706699504799,0.4343045289775407,-0.09713385902706079,ok,,gradient_boosting
model_class,elastic_net,fold_5,elastic_net,validation,macro_f1,0.3517541463039286,0.4132477502249129,-0.0614936039209843,ok,,gradient_boosting
model_class,gradient_boosting,fold_5,gradient_boosting,validation,macro_f1,0.4132477502249129,0.4132477502249129,0.0,ok,,gradient_boosting
