ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,confidence_threshold,cost_bps,latency_steps
execution,cost_0.5_latency_0,fold_5,elastic_net,test,gross_signal_return_proxy,14.748250781917475,14.748250781917475,0.0,ok,,0.0,0.5,0
execution,cost_0.5_latency_0,fold_5,elastic_net,test,turnover_proxy,19195.0,19195.0,0.0,ok,,0.0,0.5,0
execution,cost_1_latency_0,fold_5,elastic_net,test,net_signal_return_proxy,13.748250781917475,14.748250781917475,-1.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_5,elastic_net,test,gross_signal_return_proxy,14.748250781917475,14.748250781917475,0.0,ok,,0.0,1.0,0
execution,cost_1_latency_0,fold_5,elastic_net,test,turnover_proxy,19195.0,19195.0,0.0,ok,,0.0,1.0,0
execution,cost_5_latency_0,fold_5,elastic_net,test,net_signal_return_proxy,9.748250781917475,14.748250781917475,-5.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_5,elastic_net,test,gross_signal_return_proxy,14.748250781917475,14.748250781917475,0.0,ok,,0.0,5.0,0
execution,cost_5_latency_0,fold_5,elastic_net,test,turnover_proxy,19195.0,19195.0,0.0,ok,,0.0,5.0,0
execution,cost_0_latency_1,fold_5,elastic_net,test,net_signal_return_proxy,14.771914566098072,14.748250781917475,0.023663784180596892,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_5,elastic_net,test,gross_signal_return_proxy,14.771914566098072,14.748250781917475,0.023663784180596892,ok,,0.0,0.0,1
execution,cost_0_latency_1,fold_5,elastic_net,test,turnover_proxy,19194.0,19195.0,-1.0,ok,,0.0,0.0,1
execution,cost_0.5_latency_1,fold_5,elastic_net,test,net_signal_return_proxy,14.271914566098072,14.748250781917475,-0.4763362158194031,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_5,elastic_net,test,gross_signal_return_proxy,14.771914566098072,14.748250781917475,0.023663784180596892,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_5,elastic_net,test,turnover_proxy,19194.0,19195.0,-1.0,ok,,0.0,0.5,1
execution,cost_1_latency_1,fold_5,elastic_net,test,net_signal_return_proxy,13.771914566098072,14.748250781917475,-0.9763362158194031,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_5,elastic_net,test,gross_signal_return_proxy,14.771914566098072,14.748250781917475,0.023663784180596892,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_5,elastic_net,test,turnover_proxy,19194.0,19195.0,-1.0,ok,,0.0,1.0,1
execution,cost_5_latency_1,fold_5,elastic_net,test,net_signal_return_proxy,9.771914566098072,14.748250781917475,-4.976336215819403,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_5,elastic_net,test,gross_signal_return_proxy,14.771914566098072,14.748250781917475,0.023663784180596892,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_5,elastic_net,test,turnover_proxy,19194.0,19195.0,-1.0,ok,,0.0,5.0,1
execution,cost_0_latency_0,fold_1,gradient_boosting,test,net_signal_return_proxy,13.060061575362836,13.060061575362836,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_1,gradient_boosting,test,gross_signal_return_proxy,13.060061575362836,13.060061575362836,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_1,gradient_boosting,test,turnover_proxy,18264.0,18264.0,0.0,ok,,0.0,0.0,0
