fold,horizon,seed,lookback,model_family,ssl_objective,supervised_run_id,ssl_run_id,supervised_macro_f1,ssl_macro_f1,delta_macro_f1,supervised_mcc,ssl_mcc,delta_mcc,supervised_ece,ssl_ece,delta_ece
2,20,1,20,matrix_transformer,masked_reconstruction,fold_2__h20__seed_1__lb20__supervised,fold_2__h20__seed_1__lb20__masked_reconstruction,0.2909892031659928,0.3306279718047452,0.039638768638752375,0.0165240553915475,0.0254602505599106,0.008936195168363102,0.1840911749739012,0.174277557908847,-0.009813617065054209
2,20,1,20,matrix_transformer,next_field,fold_2__h20__seed_1__lb20__supervised,fold_2__h20__seed_1__lb20__next_field,0.2909892031659928,0.2360066577131611,-0.05498254545283171,0.0165240553915475,0.013184233861331,-0.003339821530216499,0.1840911749739012,0.0519487353534676,-0.1321424396204336
2,20,2,20,matrix_transformer,masked_reconstruction,fold_2__h20__seed_2__lb20__supervised,fold_2__h20__seed_2__lb20__masked_reconstruction,0.2865305535977127,0.2909992493624032,0.0044686957646905,0.0147878159389077,0.0165767864296685,0.0017889704907607992,0.2107559472130097,0.2073862067224337,-0.0033697404905759787
2,20,2,20,matrix_transformer,next_field,fold_2__h20__seed_2__lb20__supervised,fold_2__h20__seed_2__lb20__next_field,0.2865305535977127,0.2350761991538848,-0.05145435444382787,0.0147878159389077,0.0116079298969733,-0.0031798860419343985,0.2107559472130097,0.0345663249277177,-0.176189622285292
2,50,0,20,matrix_transformer,masked_reconstruction,fold_2__h50__seed_0__lb20__supervised,fold_2__h50__seed_0__lb20__masked_reconstruction,0.4210903134132968,0.4097359197122256,-0.011354393701071164,0.1573889986673057,0.148758444330421,-0.0086305543368847,0.0537364461744813,0.0972142456078225,0.04347779943334121
2,50,0,20,matrix_transformer,next_field,fold_2__h50__seed_0__lb20__supervised,fold_2__h50__seed_0__lb20__next_field,0.4210903134132968,0.3799730083408899,-0.04111730507240691,0.1573889986673057,0.1201189181660158,-0.03727008050128991,0.0537364461744813,0.0297140544900171,-0.024022391684464198
2,50,1,20,matrix_transformer,masked_reconstruction,fold_2__h50__seed_1__lb20__supervised,fold_2__h50__seed_1__lb20__masked_reconstruction,0.4169481673201772,0.4323646484414338,0.015416481121256598,0.165012449612716,0.1665651487027913,0.001552699090075299,0.0949047290362997,0.080889236706237,-0.014015492330062704
2,50,1,20,matrix_transformer,next_field,fold_2__h50__seed_1__lb20__supervised,fold_2__h50__seed_1__lb20__next_field,0.4169481673201772,0.3443957853972451,-0.07255238192293212,0.165012449612716,0.0730855311070008,-0.09192691850571519,0.0949047290362997,0.1904452121526835,0.0955404831163838
2,50,2,20,matrix_transformer,masked_reconstruction,fold_2__h50__seed_2__lb20__supervised,fold_2__h50__seed_2__lb20__masked_reconstruction,0.3342129024123942,0.3839637255219513,0.049750823109557085,0.0677816880541572,0.1322172423037081,0.0644355542495509,0.178001069679809,0.1299818599109761,-0.04801920976883289
2,50,2,20,matrix_transformer,next_field,fold_2__h50__seed_2__lb20__supervised,fold_2__h50__seed_2__lb20__next_field,0.3342129024123942,0.3304389204141291,-0.003773981998265119,0.0677816880541572,0.015828588360792,-0.0519530996933652,0.178001069679809,0.0840254856839872,-0.0939755839958218
3,10,0,20,matrix_transformer,masked_reconstruction,fold_3__h10__seed_0__lb20__supervised,fold_3__h10__seed_0__lb20__masked_reconstruction,0.3470859117184537,0.3374736496475155,-0.009612262070938238,0.0392812014109505,0.014440076106558,-0.024841125304392496,0.0198970591241941,0.1403491660284846,0.1204521069042905
3,10,0,20,matrix_transformer,next_field,fold_3__h10__seed_0__lb20__supervised,fold_3__h10__seed_0__lb20__next_field,0.3470859117184537,0.2495011330199208,-0.09758477869853291,0.0392812014109505,-0.0060601881135367,-0.0453413895244872,0.0198970591241941,0.0454922117302123,0.025595152606018197
3,10,1,20,matrix_transformer,masked_reconstruction,fold_3__h10__seed_1__lb20__supervised,fold_3__h10__seed_1__lb20__masked_reconstruction,0.3517878648668391,0.3263320896654501,-0.02545577520138903,0.0372542283008625,0.0206203356941719,-0.0166338926066906,0.0974640978400474,0.178337370452487,0.08087327261243958
3,10,1,20,matrix_transformer,next_field,fold_3__h10__seed_1__lb20__supervised,fold_3__h10__seed_1__lb20__next_field,0.3517878648668391,0.2533046573992885,-0.09848320746755063,0.0372542283008625,-0.0111258421810862,-0.0483800704819487,0.0974640978400474,0.0318809604764776,-0.0655831373635698
3,10,2,20,matrix_transformer,masked_reconstruction,fold_3__h10__seed_2__lb20__supervised,fold_3__h10__seed_2__lb20__masked_reconstruction,0.3283763860507273,0.3291200839768236,0.0007436979260962984,0.0209798587064917,0.0206736867215081,-0.00030617198498359907,0.171395749115488,0.174252824992541,0.0028570758770530003
3,10,2,20,matrix_transformer,next_field,fold_3__h10__seed_2__lb20__supervised,fold_3__h10__seed_2__lb20__next_field,0.3283763860507273,0.2581807852139269,-0.07019560083680038,0.0209798587064917,0.0126125912596168,-0.0083672674468749,0.171395749115488,0.0777147906366002,-0.0936809584788878
