model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode,model_key
matrix_transformer,next_field,10,0.7,15,15,ok,0.2282988873315719,0.0090780502236704,0.6973444084298891,0.2973185687234811,0.1530070497464861,-187.46666666666667,-187.46666666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.75,15,13,ok,0.195065180718502,0.0049750082714302,0.7293900366672182,0.3109965806481342,0.1851420263773762,-102.92307692307692,-102.92307692307692,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.8,15,10,ok,0.0479969833007032,0.0023178800366599,0.7230088590348699,0.2972115615715224,0.2257905055961778,-49.5,-49.5,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.85,15,9,ok,0.0331554711306432,0.0006698344492096,0.7570945856797835,0.277831516269184,0.2024518001180405,-8.88888888888889,-8.88888888888889,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.9,15,9,ok,0.0068585722686384,0.0001639721854786,0.7603112043182205,0.2676054649138706,0.1538461538461538,-2.111111111111111,-2.111111111111111,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.33,15,15,ok,1.0,0.1962557191465316,0.462551515595891,0.2805151636127316,0.3286032859094385,-2870.6666666666665,-2870.6666666666665,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.35,15,15,ok,0.9901678011368696,0.1896276409845582,0.4634244149793516,0.2803927388257494,0.3288072530624666,-2768.0,-2768.0,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.4,15,15,ok,0.8999836095634809,0.1405901881949789,0.473080787163635,0.2774044560314902,0.3283520960596872,-2114.4,-2114.4,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.45,15,15,ok,0.778308966345133,0.1010961528502575,0.4846708069277891,0.2769426332671985,0.3118013607011378,-1609.1333333333334,-1609.1333333333334,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,20,0.5,15,15,ok,0.5536144934535071,0.0712908772393045,0.5015766781973211,0.2817224986890236,0.2705319690034785,-1166.2666666666669,-1166.2666666666669,unit_payoff,unit_proxy,matrix_transformer/next_field
