model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode
matrix_transformer,supervised,20,0.6,15,14,ok,0.1872297232585011,0.06112981894929681,0.5655787568376999,0.365356871501334,0.3170450880274555,-738.2857142857143,-738.2857142857143,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.65,15,13,ok,0.1203047048639059,0.024751272841656125,0.6463074610911773,0.36008469191624387,0.3358527636593919,-306.53846153846155,-306.53846153846155,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.7,15,12,ok,0.0749136668434373,0.006887313148529226,0.7852626458696045,0.3757998900465982,0.39187346815463897,-105.5,-105.5,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.75,15,12,ok,0.044887451598687816,0.0007589001004044809,0.8714151938136233,0.3405106220917871,0.2767427048774365,-15.166666666666666,-15.166666666666666,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.8,15,11,ok,0.03182391110920558,1.626156022701138e-05,0.9200270887249928,0.31994065702981694,0.2857142857142857,-0.2727272727272727,-0.2727272727272727,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.85,15,9,ok,0.021813155261640023,0.0,0.9436153521205785,0.3236137485434845,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.9,15,6,ok,0.011935809275075053,0.0,0.9721413022583745,0.3285761069197147,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,supervised,20,0.95,15,1,ok,0.0013288017785500728,0.0,1.0,0.3333333333333333,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.33,15,15,ok,1.0,0.8526230036733798,0.44161339995590265,0.4179687985365532,0.419072082198609,-4834.666666666667,-4834.666666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.35,15,15,ok,0.9915285955781629,0.8469813809788905,0.44239283865377005,0.4182627369049588,0.419688015647379,-4753.866666666667,-4753.866666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.4,15,15,ok,0.8821403383959697,0.7639635801710085,0.4522124239729868,0.4200091949686679,0.42838623914248863,-3755.866666666667,-3755.866666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.45,15,15,ok,0.7021996363411201,0.6091060411679986,0.46778802625076094,0.42064258723623166,0.4411541628043114,-2507.5333333333333,-2507.5333333333333,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.5,15,15,ok,0.4954743877528062,0.4204148523191727,0.4917090184319895,0.4281270237529217,0.46012135536566523,-1327.8,-1327.8,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.55,15,15,ok,0.3130732962284608,0.25254360974158363,0.5182315854027982,0.43806511052245783,0.47446831562517733,-644.2,-644.2,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.6,15,15,ok,0.17218871941002947,0.12383498918002317,0.5558135989644898,0.45719678875688496,0.4875319490854242,-245.53333333333333,-245.53333333333333,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.65,15,15,ok,0.08574099081785423,0.04828263785067898,0.6073867301708664,0.4600342291412626,0.49895362359283574,-91.66666666666667,-91.66666666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.7,15,15,ok,0.043919627829176466,0.015244564226381905,0.6863532455490723,0.4187491083687932,0.45177870004480203,-26.866666666666667,-26.866666666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.75,15,15,ok,0.026117941717350237,0.004797299203790767,0.8100269173163842,0.37020295961721933,0.5195692904721971,8.2,8.2,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.8,15,13,ok,0.019409917289928465,0.002407738655890325,0.8493202342177658,0.32323721768227365,0.4141082047113144,6.384615384615385,6.384615384615385,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.85,15,10,ok,0.012526910361876104,0.0011855750690499766,0.8671047571863306,0.3073379276658346,0.5496936491104041,5.5,5.5,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.9,15,6,ok,0.0042608877023886235,7.382701895183004e-05,0.8949311976842828,0.3131878986587876,0.6470588235294118,0.8333333333333334,0.8333333333333334,unit_payoff,unit_proxy
matrix_transformer,supervised,50,0.95,15,0,skipped,0.0,0.0,,,,0.0,0.0,unit_payoff,unit_proxy
