model_family,pretraining_objective,horizon,fold,seed,lookback,threshold,status,skipped_reason,sample_count,retained_count,retained_sample_fraction,active_trade_count,active_trade_fraction,classification_accuracy,macro_f1,directional_trade_hit_rate,gross_directional_proxy,net_cost_adjusted_proxy,turnover_proxy,payoff_mode,cost_mode,reference_fee_bps,reference_spread_multiplier,true_up_fraction,true_stationary_fraction,true_down_fraction,predicted_up_fraction,predicted_stationary_fraction,predicted_down_fraction
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.8,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.85,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.9,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.95,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.33,ok,,28516,28516,1.0,14476,0.5076448309720858,0.4166432879786786,0.3402519322388198,0.200124343741365,-8682.0,-8682.0,0.5076626337015606,unit_payoff,unit_proxy,0.0,0.0,0.17463879927058493,0.6434282508065647,0.18193294992285033,0.18589563753682142,0.49235516902791415,0.3217491934352644
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.35,ok,,28516,28434,0.9971244213774723,14414,0.505470612989199,0.4170359428852782,0.3403730480037988,0.2002220063826835,-8642.0,-8642.0,0.5054883394704541,unit_payoff,unit_proxy,0.0,0.0,0.17479074347612014,0.6436660336217205,0.18154322290215938,0.18502497010621088,0.4930716747555743,0.32190335513821483
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.4,ok,,28516,26267,0.9211319960723804,12329,0.43235376630663486,0.43301480945673276,0.3422580951952577,0.19944845486251928,-7411.0,-7411.0,0.43236892863405224,unit_payoff,unit_proxy,0.0,0.0,0.17421098717021358,0.6461339323105036,0.17965508051928275,0.1650740472836639,0.5306277839113717,0.3042981688049644
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.45,ok,,28516,20349,0.7135993828026371,6443,0.22594333006031703,0.5010565629760676,0.34368053772985374,0.20347664131615706,-3821.0,-3821.0,0.22595125372610905,unit_payoff,unit_proxy,0.0,0.0,0.17401346503513687,0.6451914098972923,0.1807951250675709,0.09174898029387193,0.683375104427736,0.22487591527839207
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.5,ok,,28516,16133,0.5657525599663347,2244,0.07869266376770935,0.5788755966032356,0.31529693655313107,0.20811051693404634,-1310.0,-1310.0,0.07869542346133614,unit_payoff,unit_proxy,0.0,0.0,0.17523089320027274,0.640922333106056,0.18384677369367136,0.021694663112874234,0.8609062170706007,0.11739911981652514
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.55,ok,,28516,14453,0.5068382662364989,674,0.023635853555898444,0.6211859129592472,0.2846093113276876,0.21068249258160238,-390.0,-390.0,0.023636682447834474,unit_payoff,unit_proxy,0.0,0.0,0.17456583408288937,0.6422887981733896,0.18314536774372103,0.0015913651145090984,0.9533660831661247,0.04504255171936622
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.6,ok,,28516,13418,0.47054285313508204,134,0.0046991162855940525,0.6473393948427485,0.26811016577719105,0.17164179104477612,-88.0,-88.0,0.004699281080133263,unit_payoff,unit_proxy,0.0,0.0,0.17066626919063943,0.6529289014756298,0.1764048293337308,0.0,0.9900134148159189,0.009986585184081085
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.65,ok,,28516,11073,0.38830831813718614,10,0.00035068031982045167,0.6784972455522442,0.2698761055141968,0.1,-8.0,-8.0,0.0003506926179203928,unit_payoff,unit_proxy,0.0,0.0,0.1643637677232909,0.6791294138896414,0.15650681838706765,0.0,0.9990969023751467,0.0009030976248532467
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.7,ok,,28516,8388,0.2941506522653949,0,0.0,0.7217453505007153,0.2794626782994045,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.14544587505960896,0.7217453505007153,0.13280877443967573,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.75,ok,,28516,5778,0.202623088792257,0,0.0,0.7724125995154033,0.29053152361423035,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.11941848390446522,0.7724125995154033,0.10816891658013153,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.8,ok,,28516,2996,0.10506382381820732,0,0.0,0.8401201602136181,0.30437148557953925,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.08411214953271028,0.8401201602136181,0.07576769025367157,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.85,ok,,28516,58,0.0020339458549586196,0,0.0,1.0,0.3333333333333333,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.9,skipped,too few samples remain after confidence filtering,28516,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_2,0,20,0.95,skipped,too few samples remain after confidence filtering,28516,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,ok,,28516,28516,1.0,14491,0.5081708514518165,0.41324168887642027,0.33344925989606783,0.19584569732937684,-8815.0,-8815.0,0.5081886726284411,unit_payoff,unit_proxy,0.0,0.0,0.17463879927058493,0.6434282508065647,0.18193294992285033,0.37214195539346334,0.4918291485481835,0.1360288960583532
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.35,ok,,28516,28487,0.9989830270725207,14478,0.5077149670360499,0.41310071260575,0.3331672034676821,0.19546898742920293,-8818.0,-8818.0,0.5077327722251447,unit_payoff,unit_proxy,0.0,0.0,0.1745357531505599,0.6437322287359146,0.18173201811352546,0.3722048653771896,0.4917681749569979,0.13602695966581246
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.4,ok,,28516,28058,0.9839388413522233,14110,0.4948099312666573,0.4148549433316701,0.3315442987946495,0.19347980155917788,-8650.0,-8650.0,0.4948272838856742,unit_payoff,unit_proxy,0.0,0.0,0.1738185187825219,0.6457694775108703,0.18041200370660773,0.3729061230308646,0.49711312281702186,0.1299807541521135
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.45,ok,,28516,24963,0.8754032823677935,11079,0.3885187263290784,0.4399310980250771,0.32468333877190564,0.1899990973914613,-6869.0,-6869.0,0.38853235139400316,unit_payoff,unit_proxy,0.0,0.0,0.17545968032688378,0.6476785642751272,0.176861755397989,0.36986740375756116,0.5561831510635741,0.07394944517886472
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.5,ok,,28516,18182,0.6376069574975453,4482,0.15717491934352645,0.5334946650533494,0.31088331685236525,0.1990182954038376,-2698.0,-2698.0,0.15718043135192003,unit_payoff,unit_proxy,0.0,0.0,0.1804531954680453,0.6457485425145748,0.17379826201737983,0.24331756682433175,0.7534924650753493,0.0031899681003189967
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.55,ok,,28516,14317,0.5020690138869407,907,0.031806705007714965,0.623873716560732,0.3001935761448524,0.2513781697905182,-451.0,-451.0,0.03180782044537962,unit_payoff,unit_proxy,0.0,0.0,0.17692253963819235,0.6465041558985821,0.17657330446322553,0.06335126073898163,0.9366487392610183,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.6,ok,,28516,12779,0.4481343806985552,41,0.0014377893112638518,0.6599107911417169,0.26901050705849044,0.3170731707317073,-15.0,-15.0,0.0014378397334736104,unit_payoff,unit_proxy,0.0,0.0,0.16824477658658737,0.660458564832929,0.1712966585804836,0.0032083887628139916,0.996791611237186,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.65,ok,,28516,11339,0.39763641464441013,0,0.0,0.6819825381426934,0.2703090044742729,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.158479583737543,0.6819825381426934,0.15953787811976364,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.7,ok,,28516,9239,0.3239935474821153,0,0.0,0.7073276328606992,0.2761928912556528,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.14503734170364757,0.7073276328606992,0.1476350254356532,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.75,ok,,28516,6715,0.2354818347594333,0,0.0,0.7550260610573343,0.28680526092490455,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.12449739389426656,0.7550260610573343,0.12047654504839911,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.8,ok,,28516,3417,0.11982746528264834,0,0.0,0.8355282411472051,0.30346513605442177,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.08194322505121451,0.8355282411472051,0.08252853380158033,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.85,ok,,28516,8,0.00028054425585636136,0,0.0,1.0,0.3333333333333333,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.9,skipped,too few samples remain after confidence filtering,28516,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.95,skipped,too few samples remain after confidence filtering,28516,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,ok,,28516,28516,1.0,14603,0.5120984710338056,0.4084724365268621,0.3079578042787088,0.18920769704855167,-9077.0,-9077.0,0.5121164299491495,unit_payoff,unit_proxy,0.0,0.0,0.17463879927058493,0.6434282508065647,0.18193294992285033,0.05021742179828868,0.48790152896619443,0.4618810492355169
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.35,ok,,28516,28511,0.9998246598400897,14598,0.5119231308738954,0.4085440707095507,0.30801207238973716,0.18927250308261406,-9072.0,-9072.0,0.5119410836401894,unit_payoff,unit_proxy,0.0,0.0,0.17466942583564238,0.6433657184946161,0.1819648556697415,0.05015608010943145,0.4879870927010628,0.4618568271895058
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.4,ok,,28516,28275,0.9915486042923272,14370,0.5039276195819891,0.4101503094606543,0.3080347431942417,0.18900487125956855,-8938.0,-8938.0,0.5039452919516044,unit_payoff,unit_proxy,0.0,0.0,0.1745711759504863,0.6436781609195402,0.18175066312997348,0.04831122900088417,0.4917771883289125,0.4599115826702034
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.45,ok,,28516,25984,0.9112077430214617,12092,0.4240426427268902,0.4301878078817734,0.30113790568046594,0.19053919947072445,-7484.0,-7484.0,0.42405751358933896,unit_payoff,unit_proxy,0.0,0.0,0.17129772167487683,0.6436653325123153,0.18503694581280788,0.02101293103448276,0.5346366995073891,0.44435036945812806
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.5,ok,,28516,20859,0.7314840791134801,7006,0.24568663206620844,0.49494223117119707,0.30783509115703617,0.20882101056237512,-4080.0,-4080.0,0.2456952481150272,unit_payoff,unit_proxy,0.0,0.0,0.16793710149096314,0.6408744426866101,0.19118845582242677,0.0019176374706361763,0.6641257970180737,0.3339565655112901
