model_family,pretraining_objective,horizon,fold,seed,lookback,partition,latency_step,retained_samples,dropped_samples,active_trades,directional_hit_rate,gross_proxy,net_proxy,degradation_vs_latency_0,net_degradation_vs_latency_0,payoff_mode,cost_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,20,fold_1,1,20,test,1,38377,1,18795,0.26097366320830007,-8985.0,-8985.0,-54.0,-54.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,test,2,38376,2,18795,0.25836658685820696,-9083.0,-9083.0,-152.0,-152.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,test,5,38373,5,18795,0.2587390263367917,-9069.0,-9069.0,-138.0,-138.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,test,10,38368,10,18795,0.2567172120244746,-9145.0,-9145.0,-214.0,-214.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,test,0,38378,0,18971,0.25781455906383427,-9189.0,-9189.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,test,1,38377,1,18971,0.2576564229613621,-9195.0,-9195.0,-6.0,-6.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,test,2,38376,2,18971,0.2572874387222603,-9209.0,-9209.0,-20.0,-20.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,test,5,38373,5,18971,0.2568130304148437,-9227.0,-9227.0,-38.0,-38.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,test,10,38368,10,18971,0.2556533656633809,-9271.0,-9271.0,-82.0,-82.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,test,0,28516,0,14420,0.2667822468793343,-6726.0,-6726.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,test,1,28515,1,14420,0.2588072122052705,-6956.0,-6956.0,-230.0,-230.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,test,2,28514,2,14420,0.24653259361997226,-7310.0,-7310.0,-584.0,-584.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,test,5,28511,5,14420,0.24459084604715672,-7366.0,-7366.0,-640.0,-640.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,test,10,28506,10,14420,0.2421636615811373,-7436.0,-7436.0,-710.0,-710.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,test,0,28516,0,14604,0.2529443987948507,-7216.0,-7216.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,test,1,28515,1,14604,0.24890440975075323,-7334.0,-7334.0,-118.0,-118.0,unit_payoff,unit_proxy,ok,
