model_name,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy
elastic_net,test,0.7,5.0,0,3309,3306,3306.0,0.44363716614701226,5.0,-4.556362833852988,0.7932910244786945
elastic_net,test,0.7,0.0,1,3310,3307,3307.0,12.272969115477625,0.0,12.272969115477625,0.7930513595166163
elastic_net,test,0.7,0.5,1,3310,3307,3307.0,12.272969115477625,0.5,11.772969115477625,0.7930513595166163
elastic_net,test,0.7,1.0,1,3310,3307,3307.0,12.272969115477625,1.0,11.272969115477625,0.7930513595166163
elastic_net,test,0.7,5.0,1,3310,3307,3307.0,12.272969115477625,5.0,7.2729691154776255,0.7930513595166163
random_forest,test,0.0,0.0,0,20285,18688,18688.0,1.793212342316086,0.0,1.793212342316086,0.6485580478185852
random_forest,test,0.0,0.5,0,20285,18688,18688.0,1.793212342316086,0.5,1.293212342316086,0.6485580478185852
random_forest,test,0.0,1.0,0,20285,18688,18688.0,1.793212342316086,1.0,0.793212342316086,0.6485580478185852
random_forest,test,0.0,5.0,0,20285,18688,18688.0,1.793212342316086,5.0,-3.206787657683914,0.6485580478185852
random_forest,test,0.0,0.0,1,20284,18687,18687.0,1.457553036062249,0.0,1.457553036062249,0.6484914218102938
random_forest,test,0.0,0.5,1,20284,18687,18687.0,1.457553036062249,0.5,0.9575530360622491,0.6484914218102938
random_forest,test,0.0,1.0,1,20284,18687,18687.0,1.457553036062249,1.0,0.45755303606224906,0.6484914218102938
random_forest,test,0.0,5.0,1,20284,18687,18687.0,1.457553036062249,5.0,-3.542446963937751,0.6484914218102938
random_forest,test,0.5,0.0,0,14011,13727,13727.0,1.445053312917341,0.0,1.445053312917341,0.7394904003996859
random_forest,test,0.5,0.5,0,14011,13727,13727.0,1.445053312917341,0.5,0.9450533129173411,0.7394904003996859
random_forest,test,0.5,1.0,0,14011,13727,13727.0,1.445053312917341,1.0,0.44505331291734107,0.7394904003996859
random_forest,test,0.5,5.0,0,14011,13727,13727.0,1.445053312917341,5.0,-3.554946687082659,0.7394904003996859
random_forest,test,0.5,0.0,1,14010,13726,13726.0,4.151622609590719,0.0,4.151622609590719,0.7394718058529621
