fold,horizon,seed,lookback,model_family,ssl_objective,comparison,supervised_run_id,ssl_run_id,supervised_macro_f1,ssl_macro_f1,delta_macro_f1,supervised_accuracy,ssl_accuracy,delta_accuracy,supervised_mcc,ssl_mcc,delta_mcc,supervised_ece,ssl_ece,delta_ece,supervised_brier_score,ssl_brier_score,delta_brier_score,supervised_nll,ssl_nll,delta_nll,macro_f1_outcome,ece_outcome,mcc_outcome,status,reason
3,10,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h10__seed_1__lb20__supervised,fold_3__h10__seed_1__lb20__masked_reconstruction,0.3517878648668391,0.3263320896654501,-0.02545577520138903,0.4051994378986056,0.3658523402875365,-0.03934709761106908,0.03725422830086255,0.020620335694171908,-0.016633892606690643,0.09746409784004743,0.178337370452487,0.08087327261243955,0.6511641286864455,0.7486483375030399,0.09748420881659448,1.0895932463342455,1.3046224561538076,0.21502920981956208,loss,loss,loss,matched,
3,10,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h10__seed_1__lb20__supervised,fold_3__h10__seed_1__lb20__next_field,0.3517878648668391,0.2533046573992885,-0.09848320746755063,0.4051994378986056,0.5923954167117068,0.18719597881310124,0.03725422830086255,-0.011125842181086289,-0.04838007048194884,0.09746409784004743,0.03188096047647769,-0.06558313736356974,0.6511641286864455,0.5626197451962989,-0.0885443834901466,1.0895932463342455,0.9546530512149445,-0.134940195119301,loss,win,loss,matched,
3,10,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h10__seed_2__lb20__supervised,fold_3__h10__seed_2__lb20__masked_reconstruction,0.32837638605072733,0.32912008397682363,0.0007436979260962984,0.36879796778726626,0.359474651389039,-0.009323316398227255,0.020979858706491744,0.020673686721508162,-0.0003061719849835817,0.17139574911548805,0.17425282499254108,0.002857075877053028,0.7268049275816596,0.7495603452481194,0.022755417666459832,1.2683134906589166,1.3187804503248828,0.05046695966596615,win,loss,loss,matched,
3,10,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h10__seed_2__lb20__supervised,fold_3__h10__seed_2__lb20__next_field,0.32837638605072733,0.2581807852139269,-0.07019560083680043,0.36879796778726626,0.595178899578424,0.2263809317911577,0.020979858706491744,0.012612591259616878,-0.008367267446874866,0.17139574911548805,0.07771479063660029,-0.09368095847888776,0.7268049275816596,0.5699365075204561,-0.1568684200612035,1.2683134906589166,0.9653656168800654,-0.30294787377885124,loss,win,loss,matched,
3,20,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h20__seed_0__lb20__supervised,fold_3__h20__seed_0__lb20__masked_reconstruction,0.3898009323075937,0.31305134515532435,-0.07674958715226937,0.3983353151010702,0.3701221489568695,-0.028213166144200663,0.10860029900331045,0.08353839794368792,-0.025061901059622527,0.04784082786464958,0.17780553312243091,0.12996470525778134,0.6402632989035211,0.739449332657804,0.09918603375428292,1.0615181376008347,1.2632761931299032,0.20175805552906856,loss,loss,loss,matched,
3,20,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h20__seed_0__lb20__supervised,fold_3__h20__seed_0__lb20__next_field,0.3898009323075937,0.23542898680000315,-0.15437194550759056,0.3983353151010702,0.4792725110798833,0.0809371959788131,0.10860029900331045,0.011292511392922344,-0.09730778761038811,0.04784082786464958,0.12468575657466341,0.07684492871001383,0.6402632989035211,0.6515155703166281,0.011252271413107029,1.0615181376008347,1.0792872529748911,0.017769115374056454,loss,loss,loss,matched,
3,20,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h20__seed_1__lb20__supervised,fold_3__h20__seed_1__lb20__masked_reconstruction,0.39883323239654467,0.3571041041387039,-0.04172912825784075,0.4019565452383526,0.38022916441465787,-0.021727380823694742,0.1347893082074626,0.0911394722388721,-0.0436498359685905,0.06462130002754336,0.12755245135465765,0.06293115132711428,0.6574241077462043,0.7152094472058645,0.057785339459660245,1.0952355921578998,1.2131110128036362,0.11787542064573642,loss,loss,loss,matched,
3,20,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h20__seed_1__lb20__supervised,fold_3__h20__seed_1__lb20__next_field,0.39883323239654467,0.22039978034880373,-0.17843345204774094,0.4019565452383526,0.4842719705977732,0.0823154253594206,0.1347893082074626,0.022826438307078523,-0.11196286990038408,0.06462130002754336,0.07098543661751437,0.006364136589971009,0.6574241077462043,0.634041552665638,-0.023382555080566303,1.0952355921578998,1.0518141731723227,-0.043421418985577054,loss,loss,loss,matched,
3,20,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h20__seed_2__lb20__supervised,fold_3__h20__seed_2__lb20__masked_reconstruction,0.36662432613955737,0.3696281733372106,0.003003847197653231,0.37952653767160305,0.3736082585666414,-0.005918279104961621,0.0910970558215747,0.08098672314078899,-0.010110332680785705,0.11884704592681412,0.11324959236586153,-0.005597453560952592,0.70083722953769,0.7079676609961961,0.007130431458506115,1.1850330648512277,1.2078425933658958,0.02280952851466811,win,win,loss,matched,
3,20,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h20__seed_2__lb20__supervised,fold_3__h20__seed_2__lb20__next_field,0.36662432613955737,0.3403946961338847,-0.02622963000567269,0.37952653767160305,0.4202788887687818,0.04075235109717873,0.0910970558215747,0.02645852885134819,-0.06463852697022651,0.11884704592681412,0.06663547720974768,-0.05221156871706645,0.70083722953769,0.6508920324075095,-0.04994519713018053,1.1850330648512277,1.0755458551442314,-0.10948720970699632,loss,win,loss,matched,
3,50,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h50__seed_0__lb20__supervised,fold_3__h50__seed_0__lb20__masked_reconstruction,0.39766377230550826,0.39032048433443506,-0.007343287971073198,0.4310885309696249,0.42092746730083236,-0.010161063668792547,0.15006918828595323,0.13122301564193864,-0.018846172644014586,0.05727741925942741,0.13030185624209936,0.07302443698267194,0.6430115083482212,0.6931289921512236,0.050117483803002405,1.0638946306175774,1.2095502364707635,0.14565560585318615,loss,loss,loss,matched,
3,50,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h50__seed_0__lb20__supervised,fold_3__h50__seed_0__lb20__next_field,0.39766377230550826,0.41943241965209555,0.02176864734658729,0.4310885309696249,0.43149389255215653,0.000405361582531627,0.15006918828595323,0.14962622981927848,-0.0004429584666747477,0.05727741925942741,0.03435541935330802,-0.022921999906119393,0.6430115083482212,0.6404442943241272,-0.002567214024093989,1.0638946306175774,1.0619820596796101,-0.0019125709379672617,win,win,loss,matched,
