fold,horizon,seed,model,ablation_mode,feature_group,baseline_accuracy,accuracy,delta_accuracy,baseline_macro_f1,macro_f1,delta_macro_f1,baseline_mcc,mcc,delta_mcc,baseline_ece,ece,delta_ece,interpretation
fold_4,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.8313640937185568,0.8314215897657036,5.7496047146776696e-05,0.7880113508017267,0.7881087838266088,9.74330248820765e-05,0.7042191489980065,0.7043287368575097,0.00010958785950321293,0.004236370894359218,0.004182569866783585,-5.380102757563364e-05,neutral
fold_4,10,0,gradient_boosting,no_proxy_features,no_proxy,0.8313640937185568,0.5928992381773753,-0.23846485554118146,0.7880113508017267,0.29402229442066274,-0.49398905638106394,0.7042191489980065,0.11577112934462079,-0.5884480196533858,0.004236370894359218,0.012378063653496993,0.008141692759137774,hurt
fold_4,50,0,gradient_boosting,all_features,all,0.5172631881558143,0.5172631881558143,0.0,0.5172429896769114,0.5172429896769114,0.0,0.285588138906263,0.285588138906263,0.0,0.01062275015664506,0.01062275015664506,0.0,neutral
fold_4,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.5172631881558143,0.3780077619663648,-0.13925542618944947,0.5172429896769114,0.3769468234002417,-0.1402961662766697,0.285588138906263,0.061344514328379604,-0.22424362457788338,0.01062275015664506,0.006410152018938049,-0.004212598137707011,hurt
fold_4,50,0,gradient_boosting,remove_one_group,spread,0.5172631881558143,0.513985913468449,-0.0032772746873652725,0.5172429896769114,0.5139824547455886,-0.003260534931322834,0.285588138906263,0.2808422997056088,-0.004745839200654189,0.01062275015664506,0.013039118698242242,0.0024163685415971824,hurt
fold_4,50,0,gradient_boosting,remove_one_group,depth_imbalance,0.5172631881558143,0.518384361075176,0.001121172919361757,0.5172429896769114,0.518379041153191,0.0011360514762795981,0.285588138906263,0.28754832026455895,0.0019601813582959537,0.01062275015664506,0.008971597432996796,-0.001651152723648264,neutral
fold_4,50,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.5172631881558143,0.5172631881558143,0.0,0.5172429896769114,0.5172429896769114,0.0,0.285588138906263,0.285588138906263,0.0,0.01062275015664506,0.010622803329357193,5.3172712132648625e-08,neutral
fold_4,50,0,gradient_boosting,no_proxy_features,no_proxy,0.5172631881558143,0.3780077619663648,-0.13925542618944947,0.5172429896769114,0.3769468234002417,-0.1402961662766697,0.285588138906263,0.061344514328379604,-0.22424362457788338,0.01062275015664506,0.006410152018938049,-0.004212598137707011,hurt
fold_5,10,0,gradient_boosting,all_features,all,0.8445290151205558,0.8445290151205558,0.0,0.7945300465084251,0.7945300465084251,0.0,0.7123531769340883,0.7123531769340883,0.0,0.01929319033972733,0.01929319033972733,0.0,neutral
fold_5,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.8445290151205558,0.6189466693910911,-0.22558234572946467,0.7945300465084251,0.29654368925436064,-0.4979863572540644,0.7123531769340883,0.10420286740142422,-0.608150309532664,0.01929319033972733,0.04349818802440717,0.02420499768467984,hurt
fold_5,10,0,gradient_boosting,remove_one_group,spread,0.8445290151205558,0.8445800980792808,5.1082958725023886e-05,0.7945300465084251,0.7946157513127768,8.570480435177164e-05,0.7123531769340883,0.7128956295489105,0.0005424526148222197,0.01929319033972733,0.012514482349105918,-0.006778707990621413,neutral
fold_5,10,0,gradient_boosting,remove_one_group,depth_imbalance,0.8445290151205558,0.8445800980792808,5.1082958725023886e-05,0.7945300465084251,0.7945866746597762,5.662815135110133e-05,0.7123531769340883,0.7124886672084448,0.00013549027435655336,0.01929319033972733,0.018669916067176887,-0.0006232742725504441,neutral
fold_5,10,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.8445290151205558,0.8445290151205558,0.0,0.7945300465084251,0.7945300465084251,0.0,0.7123531769340883,0.7123531769340883,0.0,0.01929319033972733,0.019291858945110336,-1.3313946169955793e-06,neutral
fold_5,10,0,gradient_boosting,no_proxy_features,no_proxy,0.8445290151205558,0.6189466693910911,-0.22558234572946467,0.7945300465084251,0.29654368925436064,-0.4979863572540644,0.7123531769340883,0.10420286740142422,-0.608150309532664,0.01929319033972733,0.04349818802440717,0.02420499768467984,hurt
fold_5,50,0,gradient_boosting,all_features,all,0.5455404577033102,0.5455404577033102,0.0,0.5420846824252052,0.5420846824252052,0.0,0.3201304506956279,0.3201304506956279,0.0,0.037220545690899304,0.037220545690899304,0.0,neutral
fold_5,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.5455404577033102,0.3659327748263179,-0.17960768287699225,0.5420846824252052,0.3548811545053942,-0.18720352791981104,0.3201304506956279,0.05487207861108251,-0.2652583720845454,0.037220545690899304,0.02561034042658578,-0.011610205264313524,hurt
fold_5,50,0,gradient_boosting,remove_one_group,spread,0.5455404577033102,0.5443655496526358,-0.0011749080506743281,0.5420846824252052,0.5389417739394871,-0.0031429084857181877,0.3201304506956279,0.3206764072480051,0.0005459565523772136,0.037220545690899304,0.03717908036465441,-4.146532624489663e-05,hurt
fold_5,50,0,gradient_boosting,remove_one_group,depth_imbalance,0.5455404577033102,0.5446465059256232,-0.0008939517776869188,0.5420846824252052,0.5411426692545412,-0.0009420131706640023,0.3201304506956279,0.3187985699986749,-0.0013318806969530028,0.037220545690899304,0.035339448670420485,-0.0018810970204788183,neutral
fold_5,50,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.5455404577033102,0.5455404577033102,0.0,0.5420846824252052,0.5420846824252052,0.0,0.3201304506956279,0.3201304506956279,0.0,0.037220545690899304,0.037221052229428356,5.065385290520252e-07,neutral
fold_5,50,0,gradient_boosting,no_proxy_features,no_proxy,0.5455404577033102,0.3659327748263179,-0.17960768287699225,0.5420846824252052,0.3548811545053942,-0.18720352791981104,0.3201304506956279,0.05487207861108251,-0.2652583720845454,0.037220545690899304,0.02561034042658578,-0.011610205264313524,hurt
