source,model_name,lookback,split,metric,n_folds,n_seeds,mean,std,standard_error,ci_level,ci_lower,ci_upper,bootstrap_lower,bootstrap_upper,bootstrap_iterations,n_missing
classical,logistic,,validation,mcc,5,1,0.11666763508774984,0.020825614645479884,0.00931349800410164,0.95,0.09081336462836369,0.142521905547136,0.1001635788528599,0.1331716913226398,1000,0
classical,logistic,,validation,brier_score,5,1,0.502682325852819,0.024330169824704623,0.010880782726430735,0.95,0.4724772730042473,0.5328873787013907,0.48424418367914407,0.5211347069009588,1000,0
classical,logistic,,validation,ece,5,1,0.03983047711165338,0.015072670763269772,0.00674070328582897,0.95,0.02111828479019216,0.05854266943311459,0.027511260169527624,0.05115433261007306,1000,0
classical,majority,,test,accuracy,5,1,0.605783366044841,0.02381297195389104,0.010649484807039271,0.95,0.5762203962204999,0.635346335869182,0.5893277925521321,0.625204886792573,1000,0
classical,majority,,test,macro_f1,5,1,0.25142837660321493,0.006093262715207269,0.0027249899271936787,0.95,0.24386380456532528,0.25899294864110456,0.24719675305235303,0.25641009914220214,1000,0
classical,majority,,test,mcc,5,1,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1000,0
classical,majority,,test,brier_score,5,1,0.5558101439616567,0.019969243076842894,0.008930516995807554,0.95,0.5310190287812949,0.5806012591420185,0.5393749004210285,0.5690258636662424,1000,0
classical,majority,,test,ece,5,1,0.024285120472328777,0.014807533038409178,0.006622130090591385,0.95,0.005902087340847094,0.04266815360381046,0.012696102872115242,0.03587413807254232,1000,0
classical,majority,,validation,accuracy,5,1,0.6419970153952785,0.025810215567232685,0.011542679304451115,0.95,0.6099545376461223,0.6740394931444348,0.6232203688037382,0.6614829076493633,1000,0
classical,majority,,validation,macro_f1,5,1,0.2605771965893007,0.006346164912522207,0.002838091228164732,0.95,0.25269865533991537,0.268455737838686,0.25595340310261355,0.2653319048771827,1000,0
classical,majority,,validation,mcc,5,1,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1000,0
classical,majority,,validation,brier_score,5,1,0.5255898445031522,0.02153478741246169,0.009630649707054227,0.95,0.4988551609163696,0.5523245280899347,0.5093462638302854,0.5412732684759837,1000,0
classical,majority,,validation,ece,5,1,0.036930716247175546,0.022231221904455947,0.009942104680249166,0.95,0.009331433654803864,0.06452999883954723,0.02076903516104946,0.055057175701886785,1000,0
classical,random_forest,,test,accuracy,5,1,0.6262954786373914,0.01947674366487024,0.008710264562997647,0.95,0.6021157842105099,0.6504751730642729,0.6108940030605149,0.6407200794385757,1000,0
classical,random_forest,,test,macro_f1,5,1,0.4546700764844619,0.009060721312855942,0.004052077756145404,0.95,0.44342150863340224,0.46591864433552155,0.44786195361707454,0.461489399402739,1000,0
classical,random_forest,,test,mcc,5,1,0.24314545934341725,0.019212698021267557,0.008592179761345992,0.95,0.21929356832592078,0.2669973503609137,0.22836981822401198,0.2581935552633702,1000,0
classical,random_forest,,test,brier_score,5,1,0.5131649804279246,0.016109106055493344,0.007204211239367323,0.95,0.4931660900274409,0.5331638708284082,0.5002948018250366,0.5266713444790447,1000,0
classical,random_forest,,test,ece,5,1,0.07294956695317911,0.025442199644241895,0.011378097580329169,0.95,0.041363968070185345,0.10453516583617288,0.05626731270541925,0.09372174606293274,1000,0
classical,random_forest,,validation,accuracy,5,1,0.6244812766821874,0.02516673012326684,0.011254903865403263,0.95,0.5932376635518279,0.655724889812547,0.6060237759330931,0.642938777431282,1000,0
classical,random_forest,,validation,macro_f1,5,1,0.3966679403815927,0.007027317570399415,0.003142711957378351,0.95,0.3879437719879104,0.405392108775275,0.39141603773581174,0.40192190983762865,1000,0
classical,random_forest,,validation,mcc,5,1,0.16310840162644252,0.010813097839101704,0.004835764363117498,0.95,0.14968431975442836,0.17653248349845668,0.15527188438476408,0.1717349053762604,1000,0
classical,random_forest,,validation,brier_score,5,1,0.5270081700227945,0.02315006887216733,0.010353025536393608,0.95,0.49826817113376587,0.5557481689118232,0.5098930461614393,0.5441418919141233,1000,0
