ablation_name,ablation_type,status,model_name,split,horizon,feature_group,lookback,calibration_bins,cost_bps,latency_steps,metric_name,metric_value,source_experiment,warning
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.confidence_gap,0.5009098712633513,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.count,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.mean_confidence,0.05,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.count,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.mean_confidence,0.15,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_1.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.count,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.mean_confidence,0.25,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_2.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.count,570.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.mean_confidence,0.3740419671114959,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.accuracy,0.3596491228070175,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_3.confidence_gap,0.0143928443044783,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.count,5879.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.mean_confidence,0.4627205805370591,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.accuracy,0.3578839938765096,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_4.confidence_gap,0.1048365866605495,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.count,8426.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.mean_confidence,0.5534862428605123,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.accuracy,0.5237360550676478,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.confidence_gap,0.0297501877928645,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.count,11360.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.mean_confidence,0.6482016774512223,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.accuracy,0.6220950704225352,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.confidence_gap,0.026106607028687,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.count,5306.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.mean_confidence,0.746463601775821,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.accuracy,0.6937429325292123,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.confidence_gap,0.0527206692466087,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.count,6856.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.mean_confidence,0.8366544815611666,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.accuracy,0.7667736289381564,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.confidence_gap,0.0698808526230102,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.count,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.mean_confidence,0.95,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,deeplob_style,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.confidence_gap,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.count,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.mean_confidence,0.05,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.accuracy,0.0,experiments/baseline,none
baseline,baseline,run,transformer,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_0.confidence_gap,0.0,experiments/baseline,none
