pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
next_field,20,0.35,15,0.9901678011368696,0.1896276409845581,0.8062939608238644,0.4634244149793516,0.2803927388257494,0.3288072530624666,-2768.0,-2768.0,0.1896327768870423,-0.3423854938750666
next_field,20,0.4,15,0.8999836095634809,0.1405901881949789,0.8274344891338109,0.473080787163635,0.2774044560314902,0.3283520960596872,-2114.4,-2114.4,0.1405939670809128,-0.3432958078806255
next_field,20,0.45,15,0.778308966345133,0.1010961528502575,0.8382019487771424,0.4846708069277891,0.2769426332671985,0.3118013607011378,-1609.1333333333334,-1609.1333333333334,0.1010988407652472,-0.3763972785977245
next_field,20,0.5,15,0.5536144934535071,0.0712908772393045,0.8447734450423046,0.5015766781973211,0.2817224986890236,0.2705319690034785,-1166.2666666666669,-1166.2666666666669,0.0712927511689215,-0.4589360619930429
next_field,20,0.55,15,0.4244195268345667,0.0507537182597149,0.8557746784524997,0.5213230356078159,0.2855848367268714,0.3041125317982337,-852.8666666666667,-852.8666666666667,0.0507550375845414,-0.3917749364035325
next_field,20,0.6,14,0.3084776047020034,0.0400510016222183,0.8619736135166499,0.5569608201520778,0.298091610529152,0.3238208047855788,-685.7142857142857,-685.7142857142857,0.0400520348649246,-0.3523583904288422
next_field,20,0.65,13,0.2533318527881947,0.031985207855022,0.8699842290716027,0.6007119673977631,0.3053797383737349,0.3880873838465017,-564.6923076923077,-564.6923076923077,0.0319860298979412,-0.2238252323069964
next_field,20,0.7,13,0.1845571342887502,0.0231301855881019,0.8850658683893992,0.6666800671187001,0.3233232528891194,0.4252015621435084,-405.61538461538464,-405.61538461538464,0.0231307789279695,-0.1495968757129831
next_field,20,0.75,10,0.1179814572043711,0.0206310217693631,0.8392809830786012,0.7164546317992235,0.3452355905118798,0.3252399176063079,-363.7,-363.7,0.0206315503455846,-0.349520164787384
next_field,20,0.8,7,0.0711863620089973,0.0187197090421124,0.8626240742305326,0.7560157781503474,0.3418213845223464,0.2063544550994352,-342.7142857142857,-342.7142857142857,0.0187201881410108,-0.5872910898011293
