model_name,source,fold_id,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,coverage,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy,adverse_selection_proxy,fill_assumption,fill_assumption_proxy,status,skip_reason
elastic_net,classical,fold_1,test,0.5,0.0,0.0,13577.0,0.6931284459873391,13209.0,13209.0,16.522814822022998,0.0,16.522814822022998,0.645429770936142,0.0,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,0.5,0.0,13577.0,0.6931284459873391,13209.0,13209.0,16.522814822022998,0.5,16.022814822022998,0.645429770936142,0.0,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,1.0,0.0,13577.0,0.6931284459873391,13209.0,13209.0,16.522814822022998,1.0,15.522814822022998,0.645429770936142,0.0,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,5.0,0.0,13577.0,0.6931284459873391,13209.0,13209.0,16.522814822022998,5.0,11.522814822022998,0.645429770936142,0.0,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,0.0,1.0,13577.0,0.6931638331546434,13209.0,13209.0,18.479589683581363,0.0,18.479589683581363,0.6455034249097739,-1.9567748615583653,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,0.5,1.0,13577.0,0.6931638331546434,13209.0,13209.0,18.479589683581363,0.5,17.979589683581363,0.6455034249097739,-1.9567748615583653,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,1.0,1.0,13577.0,0.6931638331546434,13209.0,13209.0,18.479589683581363,1.0,17.479589683581363,0.6455034249097739,-1.9567748615583653,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.5,5.0,1.0,13577.0,0.6931638331546434,13209.0,13209.0,18.479589683581363,5.0,13.479589683581365,0.6455034249097739,-1.9567748615583653,full_fill_at_mid_no_queue,0.9728953377034691,ok,
elastic_net,classical,fold_1,test,0.6,0.0,0.0,8015.0,0.40917908923830915,7847.0,7847.0,24.52447539207868,0.0,24.52447539207868,0.6945726762320649,0.0,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,0.5,0.0,8015.0,0.40917908923830915,7847.0,7847.0,24.52447539207868,0.5,24.02447539207868,0.6945726762320649,0.0,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,1.0,0.0,8015.0,0.40917908923830915,7847.0,7847.0,24.52447539207868,1.0,23.52447539207868,0.6945726762320649,0.0,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,5.0,0.0,8015.0,0.40917908923830915,7847.0,7847.0,24.52447539207868,5.0,19.52447539207868,0.6945726762320649,0.0,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,0.0,1.0,8015.0,0.40919997957829174,7847.0,7847.0,28.07944114991823,0.0,28.07944114991823,0.6945726762320649,-3.5549657578395504,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,0.5,1.0,8015.0,0.40919997957829174,7847.0,7847.0,28.07944114991823,0.5,27.57944114991823,0.6945726762320649,-3.5549657578395504,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,1.0,1.0,8015.0,0.40919997957829174,7847.0,7847.0,28.07944114991823,1.0,27.07944114991823,0.6945726762320649,-3.5549657578395504,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.6,5.0,1.0,8015.0,0.40919997957829174,7847.0,7847.0,28.07944114991823,5.0,23.07944114991823,0.6945726762320649,-3.5549657578395504,full_fill_at_mid_no_queue,0.9790393013100437,ok,
elastic_net,classical,fold_1,test,0.7,0.0,0.0,3646.0,0.18613436798039615,3554.0,3554.0,54.58893295024231,0.0,54.58893295024231,0.7416346681294569,0.0,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,0.5,0.0,3646.0,0.18613436798039615,3554.0,3554.0,54.58893295024231,0.5,54.08893295024231,0.7416346681294569,0.0,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,1.0,0.0,3646.0,0.18613436798039615,3554.0,3554.0,54.58893295024231,1.0,53.58893295024231,0.7416346681294569,0.0,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,5.0,0.0,3646.0,0.18613436798039615,3554.0,3554.0,54.58893295024231,5.0,49.58893295024231,0.7416346681294569,0.0,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,0.0,1.0,3646.0,0.1861438709348037,3554.0,3554.0,54.74547077308691,0.0,54.74547077308691,0.7416346681294569,-0.15653782284459794,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,0.5,1.0,3646.0,0.1861438709348037,3554.0,3554.0,54.74547077308691,0.5,54.24547077308691,0.7416346681294569,-0.15653782284459794,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,1.0,1.0,3646.0,0.1861438709348037,3554.0,3554.0,54.74547077308691,1.0,53.74547077308691,0.7416346681294569,-0.15653782284459794,full_fill_at_mid_no_queue,0.9747668678003292,ok,
elastic_net,classical,fold_1,test,0.7,5.0,1.0,3646.0,0.1861438709348037,3554.0,3554.0,54.74547077308691,5.0,49.74547077308691,0.7416346681294569,-0.15653782284459794,full_fill_at_mid_no_queue,0.9747668678003292,ok,
random_forest,classical,fold_1,test,0.0,0.0,0.0,19588.0,1.0,17718.0,17718.0,9.98477679153056,0.0,9.98477679153056,0.5592199305697366,0.0,full_fill_at_mid_no_queue,0.904533387788442,ok,
random_forest,classical,fold_1,test,0.0,0.5,0.0,19588.0,1.0,17718.0,17718.0,9.98477679153056,0.5,9.48477679153056,0.5592199305697366,0.0,full_fill_at_mid_no_queue,0.904533387788442,ok,
random_forest,classical,fold_1,test,0.0,1.0,0.0,19588.0,1.0,17718.0,17718.0,9.98477679153056,1.0,8.984776791530559,0.5592199305697366,0.0,full_fill_at_mid_no_queue,0.904533387788442,ok,
random_forest,classical,fold_1,test,0.0,5.0,0.0,19588.0,1.0,17718.0,17718.0,9.98477679153056,5.0,4.984776791530559,0.5592199305697366,0.0,full_fill_at_mid_no_queue,0.904533387788442,ok,
random_forest,classical,fold_1,test,0.0,0.0,1.0,19587.0,1.0,17717.0,17717.0,9.411487007285166,0.0,9.411487007285166,0.5592995354061367,0.5732897842453948,full_fill_at_mid_no_queue,0.9045285138101802,ok,
random_forest,classical,fold_1,test,0.0,0.5,1.0,19587.0,1.0,17717.0,17717.0,9.411487007285166,0.5,8.911487007285166,0.5592995354061367,0.5732897842453948,full_fill_at_mid_no_queue,0.9045285138101802,ok,
random_forest,classical,fold_1,test,0.0,1.0,1.0,19587.0,1.0,17717.0,17717.0,9.411487007285166,1.0,8.411487007285166,0.5592995354061367,0.5732897842453948,full_fill_at_mid_no_queue,0.9045285138101802,ok,
random_forest,classical,fold_1,test,0.0,5.0,1.0,19587.0,1.0,17717.0,17717.0,9.411487007285166,5.0,4.4114870072851655,0.5592995354061367,0.5732897842453948,full_fill_at_mid_no_queue,0.9045285138101802,ok,
random_forest,classical,fold_1,test,0.5,0.0,0.0,7282.0,0.3717582193179498,7082.0,7082.0,12.051945950460857,0.0,12.051945950460857,0.6956879978028014,0.0,full_fill_at_mid_no_queue,0.9725350178522384,ok,
random_forest,classical,fold_1,test,0.5,0.5,0.0,7282.0,0.3717582193179498,7082.0,7082.0,12.051945950460857,0.5,11.551945950460857,0.6956879978028014,0.0,full_fill_at_mid_no_queue,0.9725350178522384,ok,
random_forest,classical,fold_1,test,0.5,1.0,0.0,7282.0,0.3717582193179498,7082.0,7082.0,12.051945950460857,1.0,11.051945950460857,0.6956879978028014,0.0,full_fill_at_mid_no_queue,0.9725350178522384,ok,
random_forest,classical,fold_1,test,0.5,5.0,0.0,7282.0,0.3717582193179498,7082.0,7082.0,12.051945950460857,5.0,7.051945950460855,0.6956879978028014,0.0,full_fill_at_mid_no_queue,0.9725350178522384,ok,
