model_name,split,confidence_threshold,cost_bps,latency_steps,fold_count,coverage_mean,eligible_predictions_mean,turnover_proxy_mean,gross_signal_return_proxy_mean,cost_proxy_mean,net_signal_return_proxy_mean,net_signal_return_proxy_std,hit_rate_proxy_mean,status
logistic,test,0.6,1.0,1,5,0.4438475550503423,7271.0,7202.0,19.773787745507594,1.0,18.773787745507594,5.684042309416085,0.7138785208360704,ok
logistic,test,0.6,5.0,0,5,0.4438226492969501,7271.0,7202.0,18.29462722982246,5.0,13.294627229822462,7.895799438905734,0.7138783064173013,ok
logistic,test,0.6,5.0,1,5,0.4438475550503423,7271.0,7202.0,19.773787745507594,5.0,14.773787745507594,5.684042309416085,0.7138785208360704,ok
logistic,test,0.7,0.0,0,5,0.20452525731927745,3329.4,3296.4,23.39734126604795,0.0,23.39734126604795,18.524406533231712,0.7697476525118125,ok
logistic,test,0.7,0.0,1,5,0.20453524955882418,3329.4,3296.4,23.59326615567695,0.0,23.59326615567695,15.836341636639846,0.7697417447574038,ok
logistic,test,0.7,0.5,0,5,0.20452525731927745,3329.4,3296.4,23.39734126604795,0.5,22.89734126604795,18.524406533231712,0.7697476525118125,ok
logistic,test,0.7,0.5,1,5,0.20453524955882418,3329.4,3296.4,23.59326615567695,0.5,23.09326615567695,15.836341636639846,0.7697417447574038,ok
logistic,test,0.7,1.0,0,5,0.20452525731927745,3329.4,3296.4,23.39734126604795,1.0,22.39734126604795,18.524406533231712,0.7697476525118125,ok
logistic,test,0.7,1.0,1,5,0.20453524955882418,3329.4,3296.4,23.59326615567695,1.0,22.59326615567695,15.836341636639846,0.7697417447574038,ok
logistic,test,0.7,5.0,0,5,0.20452525731927745,3329.4,3296.4,23.39734126604795,5.0,18.39734126604795,18.524406533231712,0.7697476525118125,ok
logistic,test,0.7,5.0,1,5,0.20453524955882418,3329.4,3296.4,23.59326615567695,5.0,18.59326615567695,15.836341636639846,0.7697417447574038,ok
majority,test,0.0,0.0,0,5,1.0,16671.4,16671.4,21.28622984703073,0.0,21.28622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.0,0.0,1,5,1.0,16670.4,16670.4,21.28582479955753,0.0,21.28582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.0,0.5,0,5,1.0,16671.4,16671.4,21.28622984703073,0.5,20.78622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.0,0.5,1,5,1.0,16670.4,16670.4,21.28582479955753,0.5,20.78582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.0,1.0,0,5,1.0,16671.4,16671.4,21.28622984703073,1.0,20.28622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.0,1.0,1,5,1.0,16670.4,16670.4,21.28582479955753,1.0,20.28582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.0,5.0,0,5,1.0,16671.4,16671.4,21.28622984703073,5.0,16.28622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.0,5.0,1,5,1.0,16670.4,16670.4,21.28582479955753,5.0,16.28582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.5,0.0,0,5,1.0,16671.4,16671.4,21.28622984703073,0.0,21.28622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.5,0.0,1,5,1.0,16670.4,16670.4,21.28582479955753,0.0,21.28582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.5,0.5,0,5,1.0,16671.4,16671.4,21.28622984703073,0.5,20.78622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.5,0.5,1,5,1.0,16670.4,16670.4,21.28582479955753,0.5,20.78582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.5,1.0,0,5,1.0,16671.4,16671.4,21.28622984703073,1.0,20.28622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.5,1.0,1,5,1.0,16670.4,16670.4,21.28582479955753,1.0,20.28582479955753,4.1680733545754745,0.5893697951558332,ok
majority,test,0.5,5.0,0,5,1.0,16671.4,16671.4,21.28622984703073,5.0,16.28622984703073,4.168286027747496,0.5893700656289758,ok
majority,test,0.5,5.0,1,5,1.0,16670.4,16670.4,21.28582479955753,5.0,16.28582479955753,4.1680733545754745,0.5893697951558332,ok
